,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
164972,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,720,ORL,Jump ball: B. Lopez vs. N. Vuevi (J. Jack gains possession),0,BRK,,0,,,,,,,,,,,,,,,,,,,,,,,,B. Lopez - lopezbr01,N. Vučević - vucevni01,J. Jack - jackja01
164973,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,705,ORL,,0,BRK,J. Jack makes 3-pt jump shot from 24 ft (assist by J. Johnson),3,J. Jack - jackja01,3-pt jump shot,make,24.0,J. Johnson - johnsjo02,,,,,,,,,,,,,,,,,,,,,
164974,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,678,ORL,T. Harris misses 3-pt jump shot from 26 ft,0,BRK,,3,T. Harris - harrito02,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
164975,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,677,ORL,,0,BRK,Defensive rebound by T. Young,3,,,,,,,,,,T. Young - youngth01,defensive,,,,,,,,,,,,,,,
164976,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,657,ORL,,0,BRK,B. Bogdanovi misses 2-pt jump shot from 14 ft,3,B. Bogdanović - bogdabo02,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,
164977,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,656,ORL,Defensive rebound by T. Harris,0,BRK,,3,,,,,,,,,,T. Harris - harrito02,defensive,,,,,,,,,,,,,,,
164978,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,650,ORL,E. Payton makes 2-pt layup from 2 ft,2,BRK,,3,E. Payton - paytoel01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,
164979,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,624,ORL,,2,BRK,B. Lopez misses 2-pt jump shot from 6 ft,3,B. Lopez - lopezbr01,2-pt jump shot,miss,6.0,,,,,,,,,,,,,,,,,,,,,,
164980,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,623,ORL,Defensive rebound by C. Frye,2,BRK,,3,,,,,,,,,,C. Frye - fryech01,defensive,,,,,,,,,,,,,,,
164981,/boxscores/201512140BRK.html,regular,Barclays Center Brooklyn New York,December 14 2015,7:30 PM,ORL,1,611,ORL,Shooting foul by J. Johnson (drawn by N. Vuevi),2,BRK,,3,,,,,,,shooting,J. Johnson - johnsjo02,N. Vučević - vucevni01,,,,,,,,,,,,,,,,,
