,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
324914,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,720,WAS,Jump ball: M. Gortat vs. D. Howard (P. Beverley gains possession),0,HOU,,0,,,,,,,,,,,,,,,,,,,,,,,,M. Gortat - gortama01,D. Howard - howardw01,P. Beverley - beverpa01
324915,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,701,WAS,,0,HOU,D. Howard misses 2-pt hook shot from 8 ft,0,D. Howard - howardw01,2-pt hook shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,
324916,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,701,WAS,Defensive rebound by J. Wall,0,HOU,,0,,,,,,,,,,J. Wall - walljo01,defensive,,,,,,,,,,,,,,,
324917,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,682,WAS,G. Temple makes 2-pt jump shot from 8 ft,2,HOU,,0,G. Temple - templga01,2-pt jump shot,make,8.0,,,,,,,,,,,,,,,,,,,,,,
324918,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,669,WAS,,2,HOU,T. Ariza misses 2-pt jump shot from 16 ft,0,T. Ariza - arizatr01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,
324919,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,668,WAS,Defensive rebound by M. Gortat,2,HOU,,0,,,,,,,,,,M. Gortat - gortama01,defensive,,,,,,,,,,,,,,,
324920,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,660,WAS,M. Gortat makes 2-pt layup at rim (assist by J. Dudley),4,HOU,,0,M. Gortat - gortama01,2-pt layup,make,0.0,J. Dudley - dudleja01,,,,,,,,,,,,,,,,,,,,,
324921,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,640,WAS,,4,HOU,T. Ariza misses 2-pt layup from 1 ft (block by M. Gortat),0,T. Ariza - arizatr01,2-pt layup,miss,1.0,,M. Gortat - gortama01,,,,,,,,,,,,,,,,,,,,
324922,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,639,WAS,Defensive rebound by O. Porter,4,HOU,,0,,,,,,,,,,O. Porter - porteot01,defensive,,,,,,,,,,,,,,,
324923,/boxscores/201601300HOU.html,regular,Toyota Center Houston Texas,January 30 2016,8:00 PM,WAS,1,632,WAS,Personal foul by J. Harden (drawn by G. Temple),4,HOU,,0,,,,,,,personal,J. Harden - hardeja01,G. Temple - templga01,,,,,,,,,,,,,,,,,
