,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
449889,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,720,PHO,Jump ball: A. Bogut vs. T. Chandler (D. Green gains possession),0,GSW,,0,,,,,,,,,,,,,,,,,,,,,,,,A. Bogut - bogutan01,T. Chandler - chandty01,D. Green - greendr01
449890,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,705,PHO,,0,GSW,S. Curry misses 3-pt jump shot from 24 ft,0,S. Curry - curryst01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,
449891,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,704,PHO,Defensive rebound by T. Chandler,0,GSW,,0,,,,,,,,,,T. Chandler - chandty01,defensive,,,,,,,,,,,,,,,
449892,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,691,PHO,T. Chandler makes 2-pt jump shot from 5 ft (assist by A. Len),2,GSW,,0,T. Chandler - chandty01,2-pt jump shot,make,5.0,A. Len - lenal01,,,,,,,,,,,,,,,,,,,,,
449893,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,679,PHO,,2,GSW,K. Thompson makes 2-pt jump shot from 21 ft (assist by D. Green),2,K. Thompson - thompkl01,2-pt jump shot,make,21.0,D. Green - greendr01,,,,,,,,,,,,,,,,,,,,,
449894,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,668,PHO,Personal foul by S. Curry,2,GSW,,2,,,,,,,personal,S. Curry - curryst01,,,,,,,,,,,,,,,,,,
449895,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,663,PHO,T. Chandler makes 2-pt jump shot from 17 ft (assist by B. Knight),4,GSW,,2,T. Chandler - chandty01,2-pt jump shot,make,17.0,B. Knight - knighbr03,,,,,,,,,,,,,,,,,,,,,
449896,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,652,PHO,,4,GSW,Turnover by S. Curry (bad pass; steal by T. Chandler),2,,,,,,,,,,,,,,,,,,,,S. Curry - curryst01,bad pass,steal,T. Chandler - chandty01,,,
449897,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,646,PHO,,4,GSW,Offensive charge foul by B. Knight (drawn by S. Curry),2,,,,,,,offensive charge,B. Knight - knighbr03,S. Curry - curryst01,,,,,,,,,,,,,,,,,
449898,/boxscores/201603120GSW.html,regular,Oracle Arena Oakland California,March 12 2016,10:30 PM,GSW,1,646,PHO,Turnover by B. Knight (offensive foul),4,GSW,,2,,,,,,,,,,,,,,,,,,,,B. Knight - knighbr03,offensive foul,,,,,
