,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
576130,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,720,MIA,Jump ball: A. Jefferson vs. H. Whiteside (L. Deng gains possession),0,CHO,,0,,,,,,,,,,,,,,,,,,,,,,,,A. Jefferson - jeffeal01,H. Whiteside - whiteha01,L. Deng - denglu01
576131,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,697,MIA,D. Wade misses 2-pt jump shot from 8 ft,0,CHO,,0,D. Wade - wadedw01,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,
576132,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,696,MIA,,0,CHO,Defensive rebound by C. Lee,0,,,,,,,,,,C. Lee - leeco01,defensive,,,,,,,,,,,,,,,
576133,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,681,MIA,,0,CHO,K. Walker misses 3-pt jump shot from 26 ft,0,K. Walker - walkeke02,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
576134,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,679,MIA,Defensive rebound by D. Wade,0,CHO,,0,,,,,,,,,,D. Wade - wadedw01,defensive,,,,,,,,,,,,,,,
576135,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,668,MIA,L. Deng makes 3-pt jump shot from 25 ft (assist by D. Wade),3,CHO,,0,L. Deng - denglu01,3-pt jump shot,make,25.0,D. Wade - wadedw01,,,,,,,,,,,,,,,,,,,,,
576136,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,652,MIA,,3,CHO,M. Williams misses 2-pt dunk at rim (block by J. Johnson),0,M. Williams - willima02,2-pt dunk,miss,0.0,,J. Johnson - johnsjo02,,,,,,,,,,,,,,,,,,,,
576137,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,650,MIA,Defensive rebound by L. Deng,3,CHO,,0,,,,,,,,,,L. Deng - denglu01,defensive,,,,,,,,,,,,,,,
576138,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,646,MIA,L. Deng misses 2-pt layup from 1 ft,3,CHO,,0,L. Deng - denglu01,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,
576139,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,645,MIA,,3,CHO,Defensive rebound by F. Kaminsky,0,,,,,,,,,,F. Kaminsky - kaminfr01,defensive,,,,,,,,,,,,,,,
576140,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,636,MIA,,3,CHO,K. Walker misses 2-pt jump shot from 10 ft,0,K. Walker - walkeke02,2-pt jump shot,miss,10.0,,,,,,,,,,,,,,,,,,,,,,
576141,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,635,MIA,Defensive rebound by L. Deng,3,CHO,,0,,,,,,,,,,L. Deng - denglu01,defensive,,,,,,,,,,,,,,,
576142,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,618,MIA,H. Whiteside makes 2-pt dunk at rim (assist by J. Johnson),5,CHO,,0,H. Whiteside - whiteha01,2-pt dunk,make,0.0,J. Johnson - johnsjo02,,,,,,,,,,,,,,,,,,,,,
576143,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,601,MIA,,5,CHO,A. Jefferson misses 2-pt jump shot from 8 ft,0,A. Jefferson - jeffeal01,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,
576144,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,600,MIA,Defensive rebound by J. Johnson,5,CHO,,0,,,,,,,,,,J. Johnson - johnsjo02,defensive,,,,,,,,,,,,,,,
576145,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,596,MIA,G. Dragi misses 2-pt layup from 1 ft (block by K. Walker),5,CHO,,0,G. Dragić - dragigo01,2-pt layup,miss,1.0,,K. Walker - walkeke02,,,,,,,,,,,,,,,,,,,,
576146,/boxscores/201604250CHO.html,playoff,Time Warner Cable Arena Charlotte North Carolina,April 25 2016,7:00 PM,CHO,1,596,MIA,,5,CHO,Defensive rebound by Team,0,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,
