,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
11992,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,720,ATL,Jump ball: J. Embiid vs. D. Howard (R. Covington gains possession),0,PHI,,0,,,,,,,,,,,,,,,,,,,,,,,,J. Embiid - embiijo01,D. Howard - howardw01,R. Covington - covinro01
11993,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,708,ATL,,0,PHI,J. Embiid makes 3-pt jump shot from 26 ft,3,J. Embiid - embiijo01,3-pt jump shot,make,26.0,,,,,,,,,,,,,,,,,,,,,,
11994,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,689,ATL,Turnover by K. Bazemore (bad pass; steal by R. Covington),0,PHI,,3,,,,,,,,,,,,,,,,,,,,K. Bazemore - bazemke01,bad pass,steal,R. Covington - covinro01,,,
11995,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,684,ATL,,0,PHI,Turnover by S. Rodrguez (bad pass; steal by K. Bazemore),3,,,,,,,,,,,,,,,,,,,,S. Rodríguez - rodrise01,bad pass,steal,K. Bazemore - bazemke01,,,
11996,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,678,ATL,Turnover by K. Bazemore (bad pass; steal by R. Covington),0,PHI,,3,,,,,,,,,,,,,,,,,,,,K. Bazemore - bazemke01,bad pass,steal,R. Covington - covinro01,,,
11997,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,673,ATL,,0,PHI,J. Embiid makes 2-pt layup from 1 ft (assist by R. Covington),5,J. Embiid - embiijo01,2-pt layup,make,1.0,R. Covington - covinro01,,,,,,,,,,,,,,,,,,,,,
11998,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,656,ATL,D. Schrder misses 2-pt jump shot from 4 ft,0,PHI,,5,D. Schröder - schrode01,2-pt jump shot,miss,4.0,,,,,,,,,,,,,,,,,,,,,,
11999,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,653,ATL,Offensive rebound by D. Howard,0,PHI,,5,,,,,,,,,,D. Howard - howardw01,offensive,,,,,,,,,,,,,,,
12000,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,652,ATL,D. Howard misses 2-pt layup from 2 ft,0,PHI,,5,D. Howard - howardw01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,
12001,/boxscores/201610290PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 29 2016,12:30 PM,ATL,1,650,ATL,Offensive rebound by D. Howard,0,PHI,,5,,,,,,,,,,D. Howard - howardw01,offensive,,,,,,,,,,,,,,,
