,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
128555,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,720,MIA,Jump ball: R. Gobert vs. H. Whiteside (D. Exum gains possession),0,UTA,,0,,,,,,,,,,,,,,,,,,,,,,,,R. Gobert - goberru01,H. Whiteside - whiteha01,D. Exum - exumda01
128556,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,698,MIA,,0,UTA,J. Johnson misses 3-pt jump shot from 23 ft,0,J. Johnson - johnsjo02,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,
128557,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,697,MIA,Defensive rebound by J. McRoberts,0,UTA,,0,,,,,,,,,,J. McRoberts - mcrobjo01,defensive,,,,,,,,,,,,,,,
128558,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,680,MIA,J. McRoberts makes 2-pt jump shot from 10 ft (assist by G. Dragi),2,UTA,,0,J. McRoberts - mcrobjo01,2-pt jump shot,make,10.0,G. Dragić - dragigo01,,,,,,,,,,,,,,,,,,,,,
128559,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,653,MIA,,2,UTA,B. Diaw misses 2-pt jump shot from 18 ft,0,B. Diaw - diawbo01,2-pt jump shot,miss,18.0,,,,,,,,,,,,,,,,,,,,,,
128560,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,652,MIA,Defensive rebound by G. Dragi,2,UTA,,0,,,,,,,,,,G. Dragić - dragigo01,defensive,,,,,,,,,,,,,,,
128561,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,629,MIA,H. Whiteside misses 2-pt jump shot from 7 ft,2,UTA,,0,H. Whiteside - whiteha01,2-pt jump shot,miss,7.0,,,,,,,,,,,,,,,,,,,,,,
128562,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,628,MIA,,2,UTA,Defensive rebound by J. Johnson,0,,,,,,,,,,J. Johnson - johnsjo02,defensive,,,,,,,,,,,,,,,
128563,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,620,MIA,,2,UTA,G. Hayward misses 3-pt jump shot from 25 ft,0,G. Hayward - haywago01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,
128564,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,619,MIA,Defensive rebound by H. Whiteside,2,UTA,,0,,,,,,,,,,H. Whiteside - whiteha01,defensive,,,,,,,,,,,,,,,
128565,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,607,MIA,R. McGruder makes 3-pt jump shot from 23 ft (assist by G. Dragi),5,UTA,,0,R. McGruder - mcgruro01,3-pt jump shot,make,23.0,G. Dragić - dragigo01,,,,,,,,,,,,,,,,,,,,,
128566,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,586,MIA,,5,UTA,D. Exum makes 3-pt jump shot from 24 ft (assist by G. Hayward),3,D. Exum - exumda01,3-pt jump shot,make,24.0,G. Hayward - haywago01,,,,,,,,,,,,,,,,,,,,,
128567,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,566,MIA,H. Whiteside misses 2-pt layup from 1 ft (block by R. Gobert),5,UTA,,3,H. Whiteside - whiteha01,2-pt layup,miss,1.0,,R. Gobert - goberru01,,,,,,,,,,,,,,,,,,,,
128568,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,565,MIA,,5,UTA,Defensive rebound by R. Gobert,3,,,,,,,,,,R. Gobert - goberru01,defensive,,,,,,,,,,,,,,,
128569,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,552,MIA,,5,UTA,D. Exum misses 2-pt layup from 2 ft,3,D. Exum - exumda01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,
128570,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,552,MIA,,5,UTA,Offensive rebound by D. Exum,3,,,,,,,,,,D. Exum - exumda01,offensive,,,,,,,,,,,,,,,
128571,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,552,MIA,,5,UTA,D. Exum misses 2-pt layup from 2 ft,3,D. Exum - exumda01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,
128572,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,551,MIA,,5,UTA,Offensive rebound by G. Hayward,3,,,,,,,,,,G. Hayward - haywago01,offensive,,,,,,,,,,,,,,,
128573,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,546,MIA,,5,UTA,D. Exum misses 3-pt jump shot from 23 ft,3,D. Exum - exumda01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,
128574,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,546,MIA,,5,UTA,Offensive rebound by Team,3,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,
128575,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,528,MIA,,5,UTA,Personal foul by L. Babbitt (drawn by B. Diaw),3,,,,,,,personal,L. Babbitt - babbilu01,B. Diaw - diawbo01,,,,,,,,,,,,,,,,,
128576,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,516,MIA,,5,UTA,G. Hayward makes 3-pt jump shot from 24 ft (assist by J. Johnson),6,G. Hayward - haywago01,3-pt jump shot,make,24.0,J. Johnson - johnsjo02,,,,,,,,,,,,,,,,,,,,,
128577,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,495,MIA,R. McGruder misses 3-pt jump shot from 26 ft,5,UTA,,6,R. McGruder - mcgruro01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
128578,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,495,MIA,Offensive rebound by G. Dragi,5,UTA,,6,,,,,,,,,,G. Dragić - dragigo01,offensive,,,,,,,,,,,,,,,
128579,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,474,MIA,G. Dragi misses 2-pt jump shot from 15 ft,5,UTA,,6,G. Dragić - dragigo01,2-pt jump shot,miss,15.0,,,,,,,,,,,,,,,,,,,,,,
128580,/boxscores/201612010UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,December 1 2016,9:00 PM,MIA,1,473,MIA,,5,UTA,Defensive rebound by B. Diaw,6,,,,,,,,,,B. Diaw - diawbo01,defensive,,,,,,,,,,,,,,,
