,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
471877,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,720,HOU,Jump ball: C. Capela vs. M. Plumlee (R. Anderson gains possession),0,DEN,,0,,,,,,,,,,,,,,,,,,,,,,,,C. Capela - capelca01,M. Plumlee - plumlma01,R. Anderson - anderry01
471878,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,701,HOU,C. Capela misses 2-pt dunk at rim,0,DEN,,0,C. Capela - capelca01,2-pt dunk,miss,0.0,,,,,,,,,,,,,,,,,,,,,,
471879,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,698,HOU,,0,DEN,Defensive rebound by J. Hernangmez,0,,,,,,,,,,J. Hernangómez - hernaju01,defensive,,,,,,,,,,,,,,,
471880,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,692,HOU,,0,DEN,N. Joki misses 2-pt jump shot from 17 ft,0,N. Jokić - jokicni01,2-pt jump shot,miss,17.0,,,,,,,,,,,,,,,,,,,,,,
471881,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,691,HOU,Defensive rebound by J. Harden,0,DEN,,0,,,,,,,,,,J. Harden - hardeja01,defensive,,,,,,,,,,,,,,,
471882,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,683,HOU,T. Ariza misses 3-pt jump shot from 26 ft,0,DEN,,0,T. Ariza - arizatr01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
471883,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,682,HOU,Offensive rebound by C. Capela,0,DEN,,0,,,,,,,,,,C. Capela - capelca01,offensive,,,,,,,,,,,,,,,
471884,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,675,HOU,Turnover by J. Harden (bad pass; steal by G. Harris),0,DEN,,0,,,,,,,,,,,,,,,,,,,,J. Harden - hardeja01,bad pass,steal,G. Harris - harriga01,,,
471885,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,669,HOU,,0,DEN,G. Harris makes 2-pt layup from 2 ft,2,G. Harris - harriga01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,
471886,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,652,HOU,P. Beverley makes 2-pt jump shot from 8 ft,2,DEN,,2,P. Beverley - beverpa01,2-pt jump shot,make,8.0,,,,,,,,,,,,,,,,,,,,,,
471887,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,631,HOU,,2,DEN,N. Joki makes 2-pt layup from 1 ft (assist by J. Nelson),4,N. Jokić - jokicni01,2-pt layup,make,1.0,J. Nelson - nelsoja01,,,,,,,,,,,,,,,,,,,,,
471888,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,608,HOU,C. Capela makes 2-pt dunk at rim (assist by J. Harden),4,DEN,,4,C. Capela - capelca01,2-pt dunk,make,0.0,J. Harden - hardeja01,,,,,,,,,,,,,,,,,,,,,
471889,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,592,HOU,,4,DEN,J. Nelson misses 2-pt jump shot from 6 ft,4,J. Nelson - nelsoja01,2-pt jump shot,miss,6.0,,,,,,,,,,,,,,,,,,,,,,
471890,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,592,HOU,Defensive rebound by C. Capela,4,DEN,,4,,,,,,,,,,C. Capela - capelca01,defensive,,,,,,,,,,,,,,,
471891,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,577,HOU,Turnover by J. Harden (offensive foul),4,DEN,,4,,,,,,,,,,,,,,,,,,,,J. Harden - hardeja01,offensive foul,,,,,
471892,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,577,HOU,Offensive foul by J. Harden (drawn by M. Plumlee),4,DEN,,4,,,,,,,offensive,J. Harden - hardeja01,M. Plumlee - plumlma01,,,,,,,,,,,,,,,,,
471893,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,558,HOU,,4,DEN,Turnover by G. Harris (step out of bounds),4,,,,,,,,,,,,,,,,,,,,G. Harris - harriga01,step out of bounds,,,,,
471894,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,544,HOU,C. Capela misses 2-pt hook shot from 4 ft,4,DEN,,4,C. Capela - capelca01,2-pt hook shot,miss,4.0,,,,,,,,,,,,,,,,,,,,,,
471895,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,543,HOU,Offensive rebound by C. Capela,4,DEN,,4,,,,,,,,,,C. Capela - capelca01,offensive,,,,,,,,,,,,,,,
471896,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,543,HOU,C. Capela makes 2-pt layup from 1 ft,6,DEN,,4,C. Capela - capelca01,2-pt layup,make,1.0,,,,,,,,,,,,,,,,,,,,,,
471897,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,529,HOU,,6,DEN,N. Joki misses 3-pt jump shot from 25 ft,4,N. Jokić - jokicni01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,
471898,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,528,HOU,Defensive rebound by T. Ariza,6,DEN,,4,,,,,,,,,,T. Ariza - arizatr01,defensive,,,,,,,,,,,,,,,
471899,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,511,HOU,J. Harden misses 2-pt jump shot from 6 ft,6,DEN,,4,J. Harden - hardeja01,2-pt jump shot,miss,6.0,,,,,,,,,,,,,,,,,,,,,,
471900,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,510,HOU,,6,DEN,Defensive rebound by M. Plumlee,4,,,,,,,,,,M. Plumlee - plumlma01,defensive,,,,,,,,,,,,,,,
471901,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,506,HOU,,6,DEN,Turnover by J. Hernangmez (lost ball; steal by P. Beverley),4,,,,,,,,,,,,,,,,,,,,J. Hernangómez - hernaju01,lost ball,steal,P. Beverley - beverpa01,,,
471902,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,506,HOU,Personal block foul by M. Plumlee (drawn by P. Beverley),6,DEN,,4,,,,,,,personal block,M. Plumlee - plumlma01,P. Beverley - beverpa01,,,,,,,,,,,,,,,,,
471903,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,489,HOU,C. Capela misses 2-pt layup from 1 ft,6,DEN,,4,C. Capela - capelca01,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,
471904,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,487,HOU,Offensive rebound by C. Capela,6,DEN,,4,,,,,,,,,,C. Capela - capelca01,offensive,,,,,,,,,,,,,,,
471905,/boxscores/201703180DEN.html,regular,Pepsi Center Denver Colorado,March 18 2017,9:30 PM,HOU,1,487,HOU,C. Capela makes 2-pt dunk at rim,8,DEN,,4,C. Capela - capelca01,2-pt dunk,make,0.0,,,,,,,,,,,,,,,,,,,,,,
