,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
350304,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,720,HOU,Jump ball: T. Thompson vs. C. Capela (R. Anderson gains possession),0,CLE,,0,,,,,,,,,,,,,,,,,,,,,,,,T. Thompson - thomptr01,C. Capela - capelca01,R. Anderson - anderry01
350305,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,698,HOU,C. Capela makes 2-pt hook shot from 1 ft (assist by L. Mbah a Moute),2,CLE,,0,C. Capela - capelca01,2-pt hook shot,make,1.0,L. Mbah a Moute - mbahalu01,,,,,,,,,,,,,,,,,,,,,
350306,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,686,HOU,,2,CLE,Turnover by L. James (lost ball; steal by J. Harden),0,,,,,,,,,,,,,,,,,,,,L. James - jamesle01,lost ball,steal,J. Harden - hardeja01,,,
350307,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,681,HOU,L. Mbah a Moute misses 2-pt layup from 3 ft,2,CLE,,0,L. Mbah a Moute - mbahalu01,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,
350308,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,678,HOU,,2,CLE,Defensive rebound by I. Thomas,0,,,,,,,,,,I. Thomas - thomais02,defensive,,,,,,,,,,,,,,,
350309,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,668,HOU,,2,CLE,I. Thomas makes 2-pt layup at rim,2,I. Thomas - thomais02,2-pt layup,make,0.0,,,,,,,,,,,,,,,,,,,,,,
350310,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,661,HOU,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Paul),4,CLE,,2,L. Mbah a Moute - mbahalu01,2-pt layup,make,1.0,C. Paul - paulch01,,,,,,,,,,,,,,,,,,,,,
350311,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,643,HOU,,4,CLE,T. Thompson makes 2-pt hook shot from 1 ft,4,T. Thompson - thomptr01,2-pt hook shot,make,1.0,,,,,,,,,,,,,,,,,,,,,,
350312,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,629,HOU,L. Mbah a Moute misses 3-pt jump shot from 22 ft,4,CLE,,4,L. Mbah a Moute - mbahalu01,3-pt jump shot,miss,22.0,,,,,,,,,,,,,,,,,,,,,,
350313,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,626,HOU,,4,CLE,Defensive rebound by T. Thompson,4,,,,,,,,,,T. Thompson - thomptr01,defensive,,,,,,,,,,,,,,,
350314,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,616,HOU,,4,CLE,L. James misses 2-pt jump shot from 14 ft,4,L. James - jamesle01,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,
350315,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,614,HOU,Defensive rebound by R. Anderson,4,CLE,,4,,,,,,,,,,R. Anderson - anderry01,defensive,,,,,,,,,,,,,,,
350316,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,592,HOU,J. Harden misses 3-pt jump shot from 26 ft,4,CLE,,4,J. Harden - hardeja01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
350317,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,588,HOU,,4,CLE,Defensive rebound by J. Smith,4,,,,,,,,,,J. Smith - smithjr01,defensive,,,,,,,,,,,,,,,
350318,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,575,HOU,,4,CLE,T. Thompson misses 2-pt jump shot from 9 ft,4,T. Thompson - thomptr01,2-pt jump shot,miss,9.0,,,,,,,,,,,,,,,,,,,,,,
350319,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,573,HOU,,4,CLE,Offensive rebound by T. Thompson,4,,,,,,,,,,T. Thompson - thomptr01,offensive,,,,,,,,,,,,,,,
350320,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,571,HOU,,4,CLE,I. Thomas misses 3-pt jump shot from 25 ft,4,I. Thomas - thomais02,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,
350321,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,568,HOU,Defensive rebound by C. Capela,4,CLE,,4,,,,,,,,,,C. Capela - capelca01,defensive,,,,,,,,,,,,,,,
350322,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,550,HOU,C. Paul makes 3-pt jump shot from 22 ft,7,CLE,,4,C. Paul - paulch01,3-pt jump shot,make,22.0,,,,,,,,,,,,,,,,,,,,,,
350323,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,538,HOU,,7,CLE,I. Thomas misses 2-pt layup from 1 ft,4,I. Thomas - thomais02,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,
350324,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,536,HOU,Defensive rebound by C. Capela,7,CLE,,4,,,,,,,,,,C. Capela - capelca01,defensive,,,,,,,,,,,,,,,
350325,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,529,HOU,R. Anderson misses 3-pt jump shot from 30 ft,7,CLE,,4,R. Anderson - anderry01,3-pt jump shot,miss,30.0,,,,,,,,,,,,,,,,,,,,,,
350326,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,525,HOU,,7,CLE,Defensive rebound by L. James,4,,,,,,,,,,L. James - jamesle01,defensive,,,,,,,,,,,,,,,
350327,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,524,HOU,,7,CLE,Personal foul by R. Anderson (drawn by I. Thomas),4,,,,,,,personal,R. Anderson - anderry01,I. Thomas - thomais02,,,,,,,,,,,,,,,,,
350328,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,518,HOU,,7,CLE,J. Smith misses 2-pt jump shot from 20 ft,4,J. Smith - smithjr01,2-pt jump shot,miss,20.0,,,,,,,,,,,,,,,,,,,,,,
350329,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,516,HOU,Defensive rebound by R. Anderson,7,CLE,,4,,,,,,,,,,R. Anderson - anderry01,defensive,,,,,,,,,,,,,,,
350330,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,496,HOU,J. Harden makes 2-pt layup from 1 ft,9,CLE,,4,J. Harden - hardeja01,2-pt layup,make,1.0,,,,,,,,,,,,,,,,,,,,,,
350331,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,496,HOU,Shooting foul by J. Crowder (drawn by J. Harden),9,CLE,,4,,,,,,,shooting,J. Crowder - crowdja01,J. Harden - hardeja01,,,,,,,,,,,,,,,,,
350332,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,496,HOU,J. Harden makes free throw 1 of 1,10,CLE,,4,,,,,,,,,,,,,,,J. Harden - hardeja01,make,1 of 1,,,,,,,,,
350333,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,483,HOU,,10,CLE,J. Smith misses 3-pt jump shot from 23 ft,4,J. Smith - smithjr01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,
350334,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,479,HOU,,10,CLE,Offensive rebound by L. James,4,,,,,,,,,,L. James - jamesle01,offensive,,,,,,,,,,,,,,,
350335,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,470,HOU,,10,CLE,J. Smith misses 3-pt jump shot from 25 ft,4,J. Smith - smithjr01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,
350336,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,465,HOU,Defensive rebound by C. Paul,10,CLE,,4,,,,,,,,,,C. Paul - paulch01,defensive,,,,,,,,,,,,,,,
350337,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,452,HOU,Shooting foul by I. Thomas (drawn by J. Harden),10,CLE,,4,,,,,,,shooting,I. Thomas - thomais02,J. Harden - hardeja01,,,,,,,,,,,,,,,,,
350338,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,452,HOU,J. Harden makes free throw 1 of 2,11,CLE,,4,,,,,,,,,,,,,,,J. Harden - hardeja01,make,1 of 2,,,,,,,,,
350339,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,452,HOU,J. Harden makes free throw 2 of 2,12,CLE,,4,,,,,,,,,,,,,,,J. Harden - hardeja01,make,2 of 2,,,,,,,,,
350340,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,427,HOU,,12,CLE,J. Smith misses 3-pt jump shot from 29 ft,4,J. Smith - smithjr01,3-pt jump shot,miss,29.0,,,,,,,,,,,,,,,,,,,,,,
350341,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,427,HOU,Defensive rebound by Team,12,CLE,,4,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,
350342,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,414,HOU,C. Paul makes 3-pt jump shot from 29 ft,15,CLE,,4,C. Paul - paulch01,3-pt jump shot,make,29.0,,,,,,,,,,,,,,,,,,,,,,
350343,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,412,HOU,,15,CLE,Cleveland full timeout,4,,,,,,,,,,,,,,CLE,,,,,,,,,,,,
350344,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,412,HOU,G. Green enters the game for R. Anderson,15,CLE,,4,,,,,,,,,,,,,,,,,,G. Green - greenge01,R. Anderson - anderry01,,,,,,,
350345,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,412,HOU,P. Tucker enters the game for C. Paul,15,CLE,,4,,,,,,,,,,,,,,,,,,P. Tucker - tuckepj01,C. Paul - paulch01,,,,,,,
350346,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,400,HOU,,15,CLE,J. Smith misses 3-pt jump shot from 26 ft,4,J. Smith - smithjr01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
350347,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,397,HOU,Defensive rebound by J. Harden,15,CLE,,4,,,,,,,,,,J. Harden - hardeja01,defensive,,,,,,,,,,,,,,,
350348,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,379,HOU,G. Green misses 2-pt jump shot from 9 ft,15,CLE,,4,G. Green - greenge01,2-pt jump shot,miss,9.0,,,,,,,,,,,,,,,,,,,,,,
350349,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,377,HOU,,15,CLE,Defensive rebound by L. James,4,,,,,,,,,,L. James - jamesle01,defensive,,,,,,,,,,,,,,,
350350,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,370,HOU,,15,CLE,J. Smith makes 2-pt jump shot from 6 ft,6,J. Smith - smithjr01,2-pt jump shot,make,6.0,,,,,,,,,,,,,,,,,,,,,,
350351,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,352,HOU,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),17,CLE,,6,C. Capela - capelca01,2-pt layup,make,1.0,J. Harden - hardeja01,,,,,,,,,,,,,,,,,,,,,
350352,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,341,HOU,,17,CLE,L. James makes 2-pt layup from 1 ft (assist by J. Crowder),8,L. James - jamesle01,2-pt layup,make,1.0,J. Crowder - crowdja01,,,,,,,,,,,,,,,,,,,,,
350353,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,332,HOU,,17,CLE,Violation by L. James (kicked ball),8,,,,,,,,,,,,L. James - jamesle01,kicked ball,,,,,,,,,,,,,
350354,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,332,HOU,,17,CLE,C. Frye enters the game for T. Thompson,8,,,,,,,,,,,,,,,,,,C. Frye - fryech01,T. Thompson - thomptr01,,,,,,,
350355,/boxscores/201802030CLE.html,regular,Quicken Loans Arena Cleveland Ohio,February 3 2018,8:30 PM,HOU,1,318,HOU,Turnover by G. Green (out of bounds lost ball),17,CLE,,8,,,,,,,,,,,,,,,,,,,,G. Green - greenge01,out of bounds lost ball,,,,,
