,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
112560,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,720,POR,Jump ball: J. Nurki vs. D. Howard (O. Porter gains possession),0,WAS,,0,,,,,,,,,,,,,,,,,,,,,,,,J. Nurkić - nurkiju01,D. Howard - howardw01,O. Porter - porteot01
112561,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,700,POR,,0,WAS,M. Morris misses 2-pt jump shot from 11 ft,0,M. Morris - morrima02,2-pt jump shot,miss,11.0,,,,,,,,,,,,,,,,,,,,,,
112562,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,695,POR,Defensive rebound by J. Layman,0,WAS,,0,,,,,,,,,,J. Layman - laymaja01,defensive,,,,,,,,,,,,,,,
112563,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,677,POR,C. McCollum misses 2-pt layup from 2 ft,0,WAS,,0,C. McCollum - mccolcj01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,
112564,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,674,POR,,0,WAS,Defensive rebound by M. Morris,0,,,,,,,,,,M. Morris - morrima02,defensive,,,,,,,,,,,,,,,
112565,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,665,POR,,0,WAS,Personal foul by C. McCollum (drawn by B. Beal),0,,,,,,,personal,C. McCollum - mccolcj01,B. Beal - bealbr01,,,,,,,,,,,,,,,,,
112566,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,659,POR,,0,WAS,O. Porter misses 2-pt jump shot from 22 ft,0,O. Porter - porteot01,2-pt jump shot,miss,22.0,,,,,,,,,,,,,,,,,,,,,,
112567,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,655,POR,Defensive rebound by A. Aminu,0,WAS,,0,,,,,,,,,,A. Aminu - aminual01,defensive,,,,,,,,,,,,,,,
112568,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,651,POR,D. Lillard makes 2-pt dunk from 1 ft,2,WAS,,0,D. Lillard - lillada01,2-pt dunk,make,1.0,,,,,,,,,,,,,,,,,,,,,,
112569,/boxscores/201811180WAS.html,regular,Capital One Arena Washington District of Columbia,November 18 2018,6:00 PM,POR,1,627,POR,,2,WAS,J. Wall misses 2-pt layup from 3 ft,0,J. Wall - walljo01,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,
