,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
168486,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,720,WAS,Jump ball: T. Bryant vs. D. Dedmon (J. Collins gains possession),0,ATL,,0,,,,,,,,,,,,,,,,,,,,,,,,T. Bryant - bryanth01,D. Dedmon - dedmode01,J. Collins - collijo01
168487,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,706,WAS,,0,ATL,D. Dedmon misses 3-pt jump shot from 24 ft,0,D. Dedmon - dedmode01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,
168488,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,702,WAS,,0,ATL,Offensive rebound by T. Young,0,,,,,,,,,,T. Young - youngtr01,offensive,,,,,,,,,,,,,,,
168489,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,700,WAS,,0,ATL,T. Young misses 2-pt layup from 1 ft,0,T. Young - youngtr01,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,
168490,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,697,WAS,,0,ATL,Offensive rebound by D. Dedmon,0,,,,,,,,,,D. Dedmon - dedmode01,offensive,,,,,,,,,,,,,,,
168491,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,697,WAS,,0,ATL,D. Dedmon misses 2-pt layup from 1 ft,0,D. Dedmon - dedmode01,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,
168492,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,696,WAS,,0,ATL,Offensive rebound by D. Dedmon,0,,,,,,,,,,D. Dedmon - dedmode01,offensive,,,,,,,,,,,,,,,
168493,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,695,WAS,,0,ATL,D. Dedmon makes 2-pt layup from 1 ft,2,D. Dedmon - dedmode01,2-pt layup,make,1.0,,,,,,,,,,,,,,,,,,,,,,
168494,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,682,WAS,O. Porter misses 2-pt jump shot from 21 ft,0,ATL,,2,O. Porter - porteot01,2-pt jump shot,miss,21.0,,,,,,,,,,,,,,,,,,,,,,
168495,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,678,WAS,,0,ATL,Defensive rebound by D. Dedmon,2,,,,,,,,,,D. Dedmon - dedmode01,defensive,,,,,,,,,,,,,,,
168496,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,671,WAS,,0,ATL,J. Collins makes 2-pt jump shot from 15 ft (assist by K. Bazemore),4,J. Collins - collijo01,2-pt jump shot,make,15.0,K. Bazemore - bazemke01,,,,,,,,,,,,,,,,,,,,,
168497,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,662,WAS,B. Beal makes 2-pt layup from 2 ft,2,ATL,,4,B. Beal - bealbr01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,
168498,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,653,WAS,,2,ATL,J. Collins makes 2-pt dunk from 1 ft (assist by K. Bazemore),6,J. Collins - collijo01,2-pt dunk,make,1.0,K. Bazemore - bazemke01,,,,,,,,,,,,,,,,,,,,,
168499,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,640,WAS,T. Bryant makes 3-pt jump shot from 24 ft (assist by T. Satoransk),5,ATL,,6,T. Bryant - bryanth01,3-pt jump shot,make,24.0,T. Satoranský - satorto01,,,,,,,,,,,,,,,,,,,,,
168500,/boxscores/201812050ATL.html,regular,State Farm Arena Atlanta Georgia,December 5 2018,7:30 PM,WAS,1,626,WAS,,5,ATL,D. Dedmon makes 2-pt layup from 1 ft (assist by K. Huerter),8,D. Dedmon - dedmode01,2-pt layup,make,1.0,K. Huerter - huertke01,,,,,,,,,,,,,,,,,,,,,
