,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
280734,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,720,ORL,Jump ball: N. Vuevi vs. W. Cauley-Stein (D. Fox gains possession),0,SAC,,0,,,,,,,,,,,,,,,,,,,,,,,,N. Vučević - vucevni01,W. Cauley-Stein - caulewi01,D. Fox - foxde01
280735,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,704,ORL,,0,SAC,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanovi),2,W. Cauley-Stein - caulewi01,2-pt dunk,make,2.0,B. Bogdanović - bogdabo01,,,,,,,,,,,,,,,,,,,,,
280736,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,683,ORL,N. Vuevi makes 2-pt hook shot from 9 ft,2,SAC,,2,N. Vučević - vucevni01,2-pt hook shot,make,9.0,,,,,,,,,,,,,,,,,,,,,,
280737,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,674,ORL,,2,SAC,D. Fox misses 2-pt jump shot from 9 ft,2,D. Fox - foxde01,2-pt jump shot,miss,9.0,,,,,,,,,,,,,,,,,,,,,,
280738,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,671,ORL,Defensive rebound by N. Vuevi,2,SAC,,2,,,,,,,,,,N. Vučević - vucevni01,defensive,,,,,,,,,,,,,,,
280739,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,665,ORL,N. Vuevi makes 3-pt jump shot from 26 ft (assist by D. Augustin),5,SAC,,2,N. Vučević - vucevni01,3-pt jump shot,make,26.0,D. Augustin - augusdj01,,,,,,,,,,,,,,,,,,,,,
280740,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,655,ORL,,5,SAC,W. Cauley-Stein misses 2-pt hook shot from 2 ft,2,W. Cauley-Stein - caulewi01,2-pt hook shot,miss,2.0,,,,,,,,,,,,,,,,,,,,,,
280741,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,655,ORL,Defensive rebound by N. Vuevi,5,SAC,,2,,,,,,,,,,N. Vučević - vucevni01,defensive,,,,,,,,,,,,,,,
280742,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,647,ORL,Turnover by D. Augustin (bad pass; steal by B. Bogdanovi),5,SAC,,2,,,,,,,,,,,,,,,,,,,,D. Augustin - augusdj01,bad pass,steal,B. Bogdanović - bogdabo01,,,
280743,/boxscores/201901070SAC.html,regular,Golden 1 Center Sacramento California,January 7 2019,10:00 PM,SAC,1,637,ORL,,5,SAC,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanovi),4,W. Cauley-Stein - caulewi01,2-pt dunk,make,2.0,B. Bogdanović - bogdabo01,,,,,,,,,,,,,,,,,,,,,
