,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
555677,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,720,DET,Jump ball: A. Drummond vs. S. Adams (W. Ellington gains possession),0,OKC,,0,,,,,,,,,,,,,,,,,,,,,,,,A. Drummond - drumman01,S. Adams - adamsst01,W. Ellington - ellinwa01
555678,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,703,DET,Turnover by A. Drummond (off goaltending),0,OKC,,0,,,,,,,,,,,,,,,,,,,,A. Drummond - drumman01,off goaltending,,,,,
555679,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,692,DET,,0,OKC,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),2,S. Adams - adamsst01,2-pt dunk,make,2.0,R. Westbrook - westbru01,,,,,,,,,,,,,,,,,,,,,
555680,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,672,DET,B. Griffin misses 3-pt jump shot from 25 ft,0,OKC,,2,B. Griffin - griffbl01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,
555681,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,669,DET,Offensive rebound by A. Drummond,0,OKC,,2,,,,,,,,,,A. Drummond - drumman01,offensive,,,,,,,,,,,,,,,
555682,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,666,DET,W. Ellington misses 3-pt jump shot from 23 ft,0,OKC,,2,W. Ellington - ellinwa01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,
555683,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,663,DET,,0,OKC,Defensive rebound by R. Westbrook,2,,,,,,,,,,R. Westbrook - westbru01,defensive,,,,,,,,,,,,,,,
555684,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,659,DET,,0,OKC,P. George misses 2-pt layup from 2 ft,2,P. George - georgpa01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,
555685,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,659,DET,,0,OKC,Offensive rebound by Team,2,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,
555686,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,654,DET,,0,OKC,P. George makes 2-pt jump shot from 20 ft (assist by R. Westbrook),4,P. George - georgpa01,2-pt jump shot,make,20.0,R. Westbrook - westbru01,,,,,,,,,,,,,,,,,,,,,
555687,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,633,DET,Turnover by A. Drummond (lost ball; steal by R. Westbrook),0,OKC,,4,,,,,,,,,,,,,,,,,,,,A. Drummond - drumman01,lost ball,steal,R. Westbrook - westbru01,,,
555688,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,627,DET,,0,OKC,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),6,J. Grant - grantje01,2-pt layup,make,1.0,R. Westbrook - westbru01,,,,,,,,,,,,,,,,,,,,,
555689,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,616,DET,B. Griffin makes 3-pt jump shot from 25 ft,3,OKC,,6,B. Griffin - griffbl01,3-pt jump shot,make,25.0,,,,,,,,,,,,,,,,,,,,,,
555690,/boxscores/201904050OKC.html,regular,Chesapeake Energy Arena Oklahoma City Oklahoma,April 5 2019,8:00 PM,OKC,1,607,DET,,3,OKC,Turnover by R. Westbrook (bad pass; steal by A. Drummond),6,,,,,,,,,,,,,,,,,,,,R. Westbrook - westbru01,bad pass,steal,A. Drummond - drumman01,,,
