,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
573201,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,720,OKC,Jump ball: S. Adams vs. D. Wilson (J. Grant gains possession),0,MIL,,0,,,,,,,,,,,,,,,,,,,,,,,,S. Adams - adamsst01,D. Wilson - wilsodj01,J. Grant - grantje01
573202,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,699,OKC,S. Adams misses 2-pt hook shot from 2 ft,0,MIL,,0,S. Adams - adamsst01,2-pt hook shot,miss,2.0,,,,,,,,,,,,,,,,,,,,,,
573203,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,697,OKC,,0,MIL,Defensive rebound by K. Middleton,0,,,,,,,,,,K. Middleton - middlkh01,defensive,,,,,,,,,,,,,,,
573204,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,681,OKC,,0,MIL,D. Wilson makes 2-pt layup from 2 ft (assist by K. Middleton),2,D. Wilson - wilsodj01,2-pt layup,make,2.0,K. Middleton - middlkh01,,,,,,,,,,,,,,,,,,,,,
573205,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,668,OKC,T. Ferguson makes 3-pt jump shot from 24 ft (assist by R. Westbrook),3,MIL,,2,T. Ferguson - fergute01,3-pt jump shot,make,24.0,R. Westbrook - westbru01,,,,,,,,,,,,,,,,,,,,,
573206,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,659,OKC,,3,MIL,D. Wilson makes 3-pt jump shot from 25 ft (assist by T. Frazier),5,D. Wilson - wilsodj01,3-pt jump shot,make,25.0,T. Frazier - fraziti01,,,,,,,,,,,,,,,,,,,,,
573207,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,648,OKC,J. Grant misses 2-pt jump shot from 14 ft,3,MIL,,5,J. Grant - grantje01,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,
573208,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,646,OKC,,3,MIL,Defensive rebound by D. Wilson,5,,,,,,,,,,D. Wilson - wilsodj01,defensive,,,,,,,,,,,,,,,
573209,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,641,OKC,,3,MIL,T. Frazier makes 3-pt jump shot from 26 ft,8,T. Frazier - fraziti01,3-pt jump shot,make,26.0,,,,,,,,,,,,,,,,,,,,,,
573210,/boxscores/201904100MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 10 2019,8:00 PM,OKC,1,629,OKC,Turnover by R. Westbrook (bad pass; steal by K. Middleton),3,MIL,,8,,,,,,,,,,,,,,,,,,,,R. Westbrook - westbru01,bad pass,steal,K. Middleton - middlkh01,,,
