,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
532725,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,720,LAC,Jump ball: S. Ibaka vs. J. Valaninas (N. Batum gains possession),0,MEM,,0,,,,,,,,,,,,,,,,,,,,,,,,S. Ibaka - ibakase01,J. Valančiūnas - valanjo01,N. Batum - batumni01
532726,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,702,LAC,K. Leonard makes 2-pt layup from 4 ft,2,MEM,,0,K. Leonard - leonaka01,2-pt layup,make,4.0,,,,,,,,,,,,,,,,,,,,,,
532727,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,676,LAC,,2,MEM,D. Brooks makes 2-pt layup from 6 ft,2,D. Brooks - brookdi01,2-pt layup,make,6.0,,,,,,,,,,,,,,,,,,,,,,
532728,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,659,LAC,P. George misses 2-pt jump shot from 18 ft,2,MEM,,2,P. George - georgpa01,2-pt jump shot,miss,18.0,,,,,,,,,,,,,,,,,,,,,,
532729,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,656,LAC,,2,MEM,Defensive rebound by J. Valaninas,2,,,,,,,,,,J. Valančiūnas - valanjo01,defensive,,,,,,,,,,,,,,,
532730,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,650,LAC,,2,MEM,J. Valaninas misses 2-pt jump shot from 11 ft,2,J. Valančiūnas - valanjo01,2-pt jump shot,miss,11.0,,,,,,,,,,,,,,,,,,,,,,
532731,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,647,LAC,Defensive rebound by N. Batum,2,MEM,,2,,,,,,,,,,N. Batum - batumni01,defensive,,,,,,,,,,,,,,,
532732,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,640,LAC,P. George makes 2-pt layup from 3 ft,4,MEM,,2,P. George - georgpa01,2-pt layup,make,3.0,,,,,,,,,,,,,,,,,,,,,,
532733,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,630,LAC,,4,MEM,J. Valaninas makes 3-pt jump shot from 25 ft (assist by K. Anderson),5,J. Valančiūnas - valanjo01,3-pt jump shot,make,25.0,K. Anderson - anderky01,,,,,,,,,,,,,,,,,,,,,
532734,boxscore/202102250MEM.html,regular,FedEx Forum Memphis Tennessee,February 25 2021,8:00 PM,MEM,1,619,LAC,,4,MEM,Violation by Team (kicked ball),5,,,,,,,,,,,,Team,kicked ball,,,,,,,,,,,,,
