,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
6837,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,720,NYK,Jump ball: N. Noel vs. M. Plumlee (D. Rose gains possession),0,DET,,0,,,,,,,,,,,,,,,,,,,,,,,,N. Noel - noelne01,M. Plumlee - plumlma01,D. Rose - rosede01
6838,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,708,NYK,,0,DET,Turnover by S. Mykhailiuk (lost ball; steal by R. Barrett),0,,,,,,,,,,,,,,,,,,,,S. Mykhailiuk - mykhasv01,lost ball,steal,R. Barrett - barrerj01,,,
6839,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,706,NYK,Turnover by N. Noel (bad pass; steal by S. Mykhailiuk),0,DET,,0,,,,,,,,,,,,,,,,,,,,N. Noel - noelne01,bad pass,steal,S. Mykhailiuk - mykhasv01,,,
6840,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,694,NYK,,0,DET,S. Bey misses 3-pt jump shot from 26 ft,0,S. Bey - beysa01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
6841,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,692,NYK,Defensive rebound by D. Rose,0,DET,,0,,,,,,,,,,D. Rose - rosede01,defensive,,,,,,,,,,,,,,,
6842,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,690,NYK,R. Barrett misses 2-pt jump shot from 8 ft,0,DET,,0,R. Barrett - barrerj01,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,
6843,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,687,NYK,,0,DET,Defensive rebound by J. Grant,0,,,,,,,,,,J. Grant - grantje01,defensive,,,,,,,,,,,,,,,
6844,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,678,NYK,,0,DET,J. Grant makes 3-pt jump shot from 28 ft (assist by D. Smith),3,J. Grant - grantje01,3-pt jump shot,make,28.0,D. Smith - smithde03,,,,,,,,,,,,,,,,,,,,,
6845,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,658,NYK,J. Randle misses 2-pt jump shot from 12 ft,0,DET,,3,J. Randle - randlju01,2-pt jump shot,miss,12.0,,,,,,,,,,,,,,,,,,,,,,
6846,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,655,NYK,,0,DET,Defensive rebound by J. Grant,3,,,,,,,,,,J. Grant - grantje01,defensive,,,,,,,,,,,,,,,
6847,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,635,NYK,,0,DET,D. Smith misses 2-pt jump shot from 20 ft,3,D. Smith - smithde03,2-pt jump shot,miss,20.0,,,,,,,,,,,,,,,,,,,,,,
6848,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,633,NYK,Defensive rebound by R. Bullock,0,DET,,3,,,,,,,,,,R. Bullock - bullore01,defensive,,,,,,,,,,,,,,,
6849,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,623,NYK,R. Bullock makes 3-pt jump shot from 29 ft (assist by J. Randle),3,DET,,3,R. Bullock - bullore01,3-pt jump shot,make,29.0,J. Randle - randlju01,,,,,,,,,,,,,,,,,,,,,
6850,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,609,NYK,,3,DET,S. Mykhailiuk misses 3-pt jump shot from 26 ft,3,S. Mykhailiuk - mykhasv01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
6851,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,606,NYK,Defensive rebound by J. Randle,3,DET,,3,,,,,,,,,,J. Randle - randlju01,defensive,,,,,,,,,,,,,,,
6852,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,598,NYK,R. Bullock misses 2-pt jump shot from 16 ft,3,DET,,3,R. Bullock - bullore01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,
6853,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,596,NYK,,3,DET,Defensive rebound by J. Grant,3,,,,,,,,,,J. Grant - grantje01,defensive,,,,,,,,,,,,,,,
6854,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,593,NYK,,3,DET,S. Mykhailiuk misses 3-pt jump shot from 28 ft,3,S. Mykhailiuk - mykhasv01,3-pt jump shot,miss,28.0,,,,,,,,,,,,,,,,,,,,,,
6855,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,590,NYK,Defensive rebound by J. Randle,3,DET,,3,,,,,,,,,,J. Randle - randlju01,defensive,,,,,,,,,,,,,,,
6856,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,583,NYK,D. Rose makes 3-pt jump shot from 26 ft (assist by J. Randle),6,DET,,3,D. Rose - rosede01,3-pt jump shot,make,26.0,J. Randle - randlju01,,,,,,,,,,,,,,,,,,,,,
6857,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,567,NYK,,6,DET,D. Smith misses 2-pt layup from 4 ft (block by D. Rose),3,D. Smith - smithde03,2-pt layup,miss,4.0,,D. Rose - rosede01,,,,,,,,,,,,,,,,,,,,
6858,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,563,NYK,Defensive rebound by R. Bullock,6,DET,,3,,,,,,,,,,R. Bullock - bullore01,defensive,,,,,,,,,,,,,,,
6859,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,551,NYK,J. Randle makes 2-pt jump shot from 10 ft,8,DET,,3,J. Randle - randlju01,2-pt jump shot,make,10.0,,,,,,,,,,,,,,,,,,,,,,
6860,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,529,NYK,,8,DET,J. Grant misses 3-pt jump shot from 30 ft,3,J. Grant - grantje01,3-pt jump shot,miss,30.0,,,,,,,,,,,,,,,,,,,,,,
6861,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,527,NYK,Defensive rebound by R. Barrett,8,DET,,3,,,,,,,,,,R. Barrett - barrerj01,defensive,,,,,,,,,,,,,,,
6862,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,517,NYK,N. Noel misses 2-pt hook shot from 5 ft,8,DET,,3,N. Noel - noelne01,2-pt hook shot,miss,5.0,,,,,,,,,,,,,,,,,,,,,,
6863,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,515,NYK,,8,DET,Defensive rebound by D. Smith,3,,,,,,,,,,D. Smith - smithde03,defensive,,,,,,,,,,,,,,,
6864,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,511,NYK,Violation by Team (kicked ball),8,DET,,3,,,,,,,,,,,,Team,kicked ball,,,,,,,,,,,,,
6865,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,501,NYK,,8,DET,Turnover by J. Grant (traveling),3,,,,,,,,,,,,,,,,,,,,J. Grant - grantje01,traveling,,,,,
6866,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,490,NYK,J. Randle misses 2-pt jump shot from 10 ft,8,DET,,3,J. Randle - randlju01,2-pt jump shot,miss,10.0,,,,,,,,,,,,,,,,,,,,,,
6867,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,487,NYK,,8,DET,Defensive rebound by D. Smith,3,,,,,,,,,,D. Smith - smithde03,defensive,,,,,,,,,,,,,,,
6868,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,482,NYK,,8,DET,M. Plumlee makes 2-pt layup from 2 ft (assist by D. Smith),5,M. Plumlee - plumlma01,2-pt layup,make,2.0,D. Smith - smithde03,,,,,,,,,,,,,,,,,,,,,
6869,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,464,NYK,R. Bullock misses 2-pt jump shot from 16 ft,8,DET,,5,R. Bullock - bullore01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,
6870,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,461,NYK,,8,DET,Defensive rebound by M. Plumlee,5,,,,,,,,,,M. Plumlee - plumlma01,defensive,,,,,,,,,,,,,,,
6871,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,461,NYK,,8,DET,Turnover by S. Mykhailiuk (step out of bounds),5,,,,,,,,,,,,,,,,,,,,S. Mykhailiuk - mykhasv01,step out of bounds,,,,,
6872,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,449,NYK,D. Rose makes 2-pt jump shot from 4 ft,10,DET,,5,D. Rose - rosede01,2-pt jump shot,make,4.0,,,,,,,,,,,,,,,,,,,,,,
6873,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,449,NYK,Shooting foul by D. Smith (drawn by D. Rose),10,DET,,5,,,,,,,shooting,D. Smith - smithde03,D. Rose - rosede01,,,,,,,,,,,,,,,,,
6874,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,449,NYK,D. Rose misses free throw 1 of 1,10,DET,,5,,,,,,,,,,,,,,,D. Rose - rosede01,miss,1 of 1,,,,,,,,,
6875,boxscore/202102280DET.html,regular,Little Caesars Arena Detroit Michigan,February 28 2021,8:00 PM,NYK,1,445,NYK,,10,DET,Defensive rebound by S. Bey,5,,,,,,,,,,S. Bey - beysa01,defensive,,,,,,,,,,,,,,,
