,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
260683,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,720,HOU,Jump ball: C. Wood vs. R. Williams (J. Brown gains possession),0,BOS,,0,,,,,,,,,,,,,,,,,,,,,,,,C. Wood - woodch01,R. Williams - williro04,J. Brown - brownja02
260684,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,703,HOU,,0,BOS,R. Williams makes 2-pt dunk from 1 ft (assist by M. Smart),2,R. Williams - williro04,2-pt dunk,make,1.0,M. Smart - smartma01,,,,,,,,,,,,,,,,,,,,,
260685,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,682,HOU,D. House misses 3-pt jump shot from 24 ft,0,BOS,,2,D. House - houseda01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,
260686,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,679,HOU,Offensive rebound by K. Porter,0,BOS,,2,,,,,,,,,,K. Porter - porteke02,offensive,,,,,,,,,,,,,,,
260687,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,677,HOU,Turnover by K. Porter (out of bounds lost ball),0,BOS,,2,,,,,,,,,,,,,,,,,,,,K. Porter - porteke02,out of bounds lost ball,,,,,
260688,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,667,HOU,,0,BOS,J. Brown misses 2-pt layup from 1 ft,2,J. Brown - brownja02,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,
260689,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,664,HOU,,0,BOS,Offensive rebound by J. Brown,2,,,,,,,,,,J. Brown - brownja02,offensive,,,,,,,,,,,,,,,
260690,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,664,HOU,,0,BOS,J. Brown misses 2-pt layup at rim,2,J. Brown - brownja02,2-pt layup,miss,0.0,,,,,,,,,,,,,,,,,,,,,,
260691,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,661,HOU,,0,BOS,Offensive rebound by J. Brown,2,,,,,,,,,,J. Brown - brownja02,offensive,,,,,,,,,,,,,,,
260692,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,661,HOU,,0,BOS,J. Brown makes 2-pt layup at rim,4,J. Brown - brownja02,2-pt layup,make,0.0,,,,,,,,,,,,,,,,,,,,,,
260693,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,651,HOU,S. Brown misses 2-pt jump shot from 14 ft,0,BOS,,4,S. Brown - brownst02,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,
260694,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,649,HOU,,0,BOS,Defensive rebound by J. Tatum,4,,,,,,,,,,J. Tatum - tatumja01,defensive,,,,,,,,,,,,,,,
260695,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,637,HOU,,0,BOS,J. Tatum misses 3-pt jump shot from 27 ft,4,J. Tatum - tatumja01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,
260696,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,633,HOU,Defensive rebound by D. House,0,BOS,,4,,,,,,,,,,D. House - houseda01,defensive,,,,,,,,,,,,,,,
260697,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,625,HOU,C. Wood makes 3-pt jump shot from 25 ft (assist by J. Tate),3,BOS,,4,C. Wood - woodch01,3-pt jump shot,make,25.0,J. Tate - tateja01,,,,,,,,,,,,,,,,,,,,,
260698,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,605,HOU,,3,BOS,Turnover by M. Smart (step out of bounds),4,,,,,,,,,,,,,,,,,,,,M. Smart - smartma01,step out of bounds,,,,,
260699,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,594,HOU,Personal foul by J. Brown (drawn by K. Porter),3,BOS,,4,,,,,,,personal,J. Brown - brownja02,K. Porter - porteke02,,,,,,,,,,,,,,,,,
260700,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,589,HOU,S. Brown makes 3-pt jump shot from 25 ft (assist by J. Tate),6,BOS,,4,S. Brown - brownst02,3-pt jump shot,make,25.0,J. Tate - tateja01,,,,,,,,,,,,,,,,,,,,,
260701,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,570,HOU,,6,BOS,R. Williams makes 2-pt layup from 2 ft (assist by K. Walker),6,R. Williams - williro04,2-pt layup,make,2.0,K. Walker - walkeke02,,,,,,,,,,,,,,,,,,,,,
260702,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,561,HOU,C. Wood makes 2-pt layup from 5 ft (assist by K. Porter),8,BOS,,6,C. Wood - woodch01,2-pt layup,make,5.0,K. Porter - porteke02,,,,,,,,,,,,,,,,,,,,,
260703,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,561,HOU,Shooting foul by R. Williams (drawn by C. Wood),8,BOS,,6,,,,,,,shooting,R. Williams - williro04,C. Wood - woodch01,,,,,,,,,,,,,,,,,
260704,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,561,HOU,C. Wood misses free throw 1 of 1,8,BOS,,6,,,,,,,,,,,,,,,C. Wood - woodch01,miss,1 of 1,,,,,,,,,
260705,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,559,HOU,,8,BOS,Defensive rebound by R. Williams,6,,,,,,,,,,R. Williams - williro04,defensive,,,,,,,,,,,,,,,
260706,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,542,HOU,,8,BOS,K. Walker makes 3-pt jump shot from 26 ft (assist by R. Williams),9,K. Walker - walkeke02,3-pt jump shot,make,26.0,R. Williams - williro04,,,,,,,,,,,,,,,,,,,,,
260707,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,521,HOU,Turnover by C. Wood (out of bounds lost ball),8,BOS,,9,,,,,,,,,,,,,,,,,,,,C. Wood - woodch01,out of bounds lost ball,,,,,
260708,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,511,HOU,,8,BOS,K. Walker makes 3-pt jump shot from 28 ft (assist by R. Williams),12,K. Walker - walkeke02,3-pt jump shot,make,28.0,R. Williams - williro04,,,,,,,,,,,,,,,,,,,,,
260709,boxscore/202104020BOS.html,regular,TD Garden Boston Massachusetts,April 2 2021,7:30 PM,BOS,1,490,HOU,D. House makes 2-pt layup from 4 ft (assist by J. Tate),10,BOS,,12,D. House - houseda01,2-pt layup,make,4.0,J. Tate - tateja01,,,,,,,,,,,,,,,,,,,,,
