,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
265238,265238,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,720,DET,Jump ball: I. Stewart vs. N. Vuevi (K. Hayes gains possession),0,CHI,,0,,,,,,,,,,,,,,,,,,,,,,,,I. Stewart - stewais01,N. Vučević - vucevni01,K. Hayes - hayeski01,202122
265239,265239,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,705,DET,I. Stewart makes 2-pt layup from 1 ft (assist by K. Hayes),2,CHI,,0,I. Stewart - stewais01,2-pt layup,make,1.0,K. Hayes - hayeski01,,,,,,,,,,,,,,,,,,,,,,202122
265240,265240,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,683,DET,,2,CHI,N. Vuevi misses 2-pt jump shot from 8 ft,0,N. Vučević - vucevni01,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,202122
265241,265241,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,681,DET,Defensive rebound by S. Bey,2,CHI,,0,,,,,,,,,,S. Bey - beysa01,defensive,,,,,,,,,,,,,,,,202122
265242,265242,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,677,DET,Offensive foul by I. Stewart (drawn by D. DeRozan),2,CHI,,0,,,,,,,offensive,I. Stewart - stewais01,D. DeRozan - derozde01,,,,,,,,,,,,,,,,,,202122
265243,265243,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,677,DET,Turnover by I. Stewart (offensive foul),2,CHI,,0,,,,,,,,,,,,,,,,,,,,I. Stewart - stewais01,offensive foul,,,,,,202122
265244,265244,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,665,DET,,2,CHI,L. Ball misses 2-pt layup from 1 ft (block by J. Grant),0,L. Ball - balllo01,2-pt layup,miss,1.0,,J. Grant - grantje01,,,,,,,,,,,,,,,,,,,,,202122
265245,265245,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,662,DET,Defensive rebound by J. Grant,2,CHI,,0,,,,,,,,,,J. Grant - grantje01,defensive,,,,,,,,,,,,,,,,202122
265246,265246,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,654,DET,I. Stewart makes 2-pt layup from 2 ft,4,CHI,,0,I. Stewart - stewais01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
265247,265247,boxscore/202110230CHI.html,regular,United Center Chicago Illinois,October 23 2021,8:00 PM,CHI,1,643,DET,,4,CHI,D. DeRozan misses 2-pt layup from 2 ft,0,D. DeRozan - derozde01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
