,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
373170,373170,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,720,DET,Jump ball: I. Stewart vs. J. Embiid (T. Maxey gains possession),0,PHI,,0,,,,,,,,,,,,,,,,,,,,,,,,I. Stewart - stewais01,J. Embiid - embiijo01,T. Maxey - maxeyty01,202122
373171,373171,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,707,DET,,0,PHI,Turnover by J. Embiid (bad pass; steal by J. Grant),0,,,,,,,,,,,,,,,,,,,,J. Embiid - embiijo01,bad pass,steal,J. Grant - grantje01,,,,202122
373172,373172,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,702,DET,S. Bey misses 3-pt jump shot from 23 ft,0,PHI,,0,S. Bey - beysa01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
373173,373173,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,700,DET,Offensive rebound by J. Grant,0,PHI,,0,,,,,,,,,,J. Grant - grantje01,offensive,,,,,,,,,,,,,,,,202122
373174,373174,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,699,DET,J. Grant misses 2-pt jump shot from 12 ft,0,PHI,,0,J. Grant - grantje01,2-pt jump shot,miss,12.0,,,,,,,,,,,,,,,,,,,,,,,202122
373175,373175,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,696,DET,,0,PHI,Defensive rebound by D. Green,0,,,,,,,,,,D. Green - greenda02,defensive,,,,,,,,,,,,,,,,202122
373176,373176,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,685,DET,,0,PHI,J. Embiid misses 2-pt layup from 4 ft,0,J. Embiid - embiijo01,2-pt layup,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,202122
373177,373177,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,677,DET,Defensive rebound by J. Jackson,0,PHI,,0,,,,,,,,,,J. Jackson - jacksjo02,defensive,,,,,,,,,,,,,,,,202122
373178,373178,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,670,DET,K. Hayes misses 3-pt jump shot from 23 ft,0,PHI,,0,K. Hayes - hayeski01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
373179,373179,boxscore/202110280PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 28 2021,7:00 PM,PHI,1,668,DET,,0,PHI,Defensive rebound by J. Embiid,0,,,,,,,,,,J. Embiid - embiijo01,defensive,,,,,,,,,,,,,,,,202122
