,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
229513,229513,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,720,TOR,Jump ball: P. Achiuwa vs. M. Turner (S. Barnes gains possession),0,IND,,0,,,,,,,,,,,,,,,,,,,,,,,,P. Achiuwa - achiupr01,M. Turner - turnemy01,S. Barnes - barnesc01,202122
229514,229514,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,705,TOR,S. Barnes misses 2-pt jump shot from 14 ft,0,IND,,0,S. Barnes - barnesc01,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,,202122
229515,229515,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,702,TOR,,0,IND,Defensive rebound by M. Turner,0,,,,,,,,,,M. Turner - turnemy01,defensive,,,,,,,,,,,,,,,,202122
229516,229516,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,698,TOR,,0,IND,Turnover by T. McConnell (out of bounds lost ball),0,,,,,,,,,,,,,,,,,,,,T. McConnell - mccontj01,out of bounds lost ball,,,,,,202122
229517,229517,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,675,TOR,G. Trent misses 2-pt layup from 3 ft,0,IND,,0,G. Trent - trentga02,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
229518,229518,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,672,TOR,,0,IND,Defensive rebound by C. LeVert,0,,,,,,,,,,C. LeVert - leverca01,defensive,,,,,,,,,,,,,,,,202122
229519,229519,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,666,TOR,,0,IND,Turnover by C. LeVert (lost ball; steal by G. Trent),0,,,,,,,,,,,,,,,,,,,,C. LeVert - leverca01,lost ball,steal,G. Trent - trentga02,,,,202122
229520,229520,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,664,TOR,Turnover by G. Trent (out of bounds lost ball),0,IND,,0,,,,,,,,,,,,,,,,,,,,G. Trent - trentga02,out of bounds lost ball,,,,,,202122
229521,229521,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,653,TOR,,0,IND,C. Duarte makes 2-pt layup from 1 ft (assist by T. McConnell),2,C. Duarte - duartch01,2-pt layup,make,1.0,T. McConnell - mccontj01,,,,,,,,,,,,,,,,,,,,,,202122
229522,229522,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,636,TOR,O. Anunoby makes 2-pt dunk from 1 ft,2,IND,,2,O. Anunoby - anunoog01,2-pt dunk,make,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
229523,229523,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,619,TOR,,2,IND,Personal foul by F. VanVleet (drawn by C. Duarte),2,,,,,,,personal,F. VanVleet - vanvlfr01,C. Duarte - duartch01,,,,,,,,,,,,,,,,,,202122
229524,229524,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,608,TOR,,2,IND,C. LeVert misses 3-pt jump shot from 27 ft,2,C. LeVert - leverca01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,202122
229525,229525,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,603,TOR,Defensive rebound by G. Trent,2,IND,,2,,,,,,,,,,G. Trent - trentga02,defensive,,,,,,,,,,,,,,,,202122
229526,229526,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,589,TOR,S. Barnes misses 2-pt jump shot from 3 ft,2,IND,,2,S. Barnes - barnesc01,2-pt jump shot,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
229527,229527,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,586,TOR,Offensive rebound by Team,2,IND,,2,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,202122
229528,229528,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,586,TOR,Jump ball: S. Barnes vs. D. Sabonis (P. Achiuwa gains possession),2,IND,,2,,,,,,,,,,,,,,,,,,,,,,,,S. Barnes - barnesc01,D. Sabonis - sabondo01,P. Achiuwa - achiupr01,202122
229529,229529,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,579,TOR,Turnover by P. Achiuwa (lost ball; steal by C. LeVert),2,IND,,2,,,,,,,,,,,,,,,,,,,,P. Achiuwa - achiupr01,lost ball,steal,C. LeVert - leverca01,,,,202122
229530,229530,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,576,TOR,,2,IND,C. LeVert makes 2-pt layup from 2 ft (assist by C. Duarte),4,C. LeVert - leverca01,2-pt layup,make,2.0,C. Duarte - duartch01,,,,,,,,,,,,,,,,,,,,,,202122
229531,229531,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,565,TOR,P. Achiuwa misses 3-pt jump shot from 23 ft,2,IND,,4,P. Achiuwa - achiupr01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
229532,229532,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,562,TOR,,2,IND,Defensive rebound by D. Sabonis,4,,,,,,,,,,D. Sabonis - sabondo01,defensive,,,,,,,,,,,,,,,,202122
229533,229533,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,558,TOR,,2,IND,Turnover by T. McConnell (bad pass),4,,,,,,,,,,,,,,,,,,,,T. McConnell - mccontj01,bad pass,,,,,,202122
229534,229534,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,543,TOR,O. Anunoby misses 3-pt jump shot from 25 ft,2,IND,,4,O. Anunoby - anunoog01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
229535,229535,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,539,TOR,Offensive rebound by S. Barnes,2,IND,,4,,,,,,,,,,S. Barnes - barnesc01,offensive,,,,,,,,,,,,,,,,202122
229536,229536,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,539,TOR,S. Barnes makes 2-pt layup from 2 ft,4,IND,,4,S. Barnes - barnesc01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
229537,229537,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,529,TOR,,4,IND,C. LeVert makes 3-pt jump shot from 26 ft,7,C. LeVert - leverca01,3-pt jump shot,make,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
229538,229538,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,517,TOR,Turnover by O. Anunoby (lost ball; steal by D. Sabonis),4,IND,,7,,,,,,,,,,,,,,,,,,,,O. Anunoby - anunoog01,lost ball,steal,D. Sabonis - sabondo01,,,,202122
229539,229539,boxscore/202110300IND.html,regular,Gainbridge Fieldhouse Indianapolis Indiana,October 30 2021,7:30 PM,TOR,1,513,TOR,,4,IND,C. LeVert makes 2-pt layup from 3 ft (assist by C. Duarte),9,C. LeVert - leverca01,2-pt layup,make,3.0,C. Duarte - duartch01,,,,,,,,,,,,,,,,,,,,,,202122
