,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
852,852,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,720,SAS,Jump ball: D. Eubanks vs. M. Bamba (C. Anthony gains possession),0,ORL,,0,,,,,,,,,,,,,,,,,,,,,,,,D. Eubanks - eubandr01,M. Bamba - bambamo01,C. Anthony - anthoco01,202122
853,853,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,699,SAS,,0,ORL,J. Suggs misses 3-pt jump shot from 24 ft,0,J. Suggs - suggsja01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,202122
854,854,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,694,SAS,Defensive rebound by D. McDermott,0,ORL,,0,,,,,,,,,,D. McDermott - mcderdo01,defensive,,,,,,,,,,,,,,,,202122
855,855,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,677,SAS,D. Eubanks makes 2-pt dunk from 3 ft (assist by K. Johnson),2,ORL,,0,D. Eubanks - eubandr01,2-pt dunk,make,3.0,K. Johnson - johnske04,,,,,,,,,,,,,,,,,,,,,,202122
856,856,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,657,SAS,,2,ORL,W. Carter misses 3-pt jump shot from 24 ft,0,W. Carter - cartewe01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,202122
857,857,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,654,SAS,Defensive rebound by D. Murray,2,ORL,,0,,,,,,,,,,D. Murray - murrade01,defensive,,,,,,,,,,,,,,,,202122
858,858,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,650,SAS,Turnover by K. Johnson (bad pass),2,ORL,,0,,,,,,,,,,,,,,,,,,,,K. Johnson - johnske04,bad pass,,,,,,202122
859,859,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,637,SAS,,2,ORL,W. Carter misses 2-pt layup from 1 ft,0,W. Carter - cartewe01,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
860,860,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,635,SAS,,2,ORL,Offensive rebound by W. Carter,0,,,,,,,,,,W. Carter - cartewe01,offensive,,,,,,,,,,,,,,,,202122
861,861,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,634,SAS,,2,ORL,W. Carter misses 2-pt layup from 2 ft (block by D. Murray),0,W. Carter - cartewe01,2-pt layup,miss,2.0,,D. Murray - murrade01,,,,,,,,,,,,,,,,,,,,,202122
862,862,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,634,SAS,,2,ORL,Offensive rebound by W. Carter,0,,,,,,,,,,W. Carter - cartewe01,offensive,,,,,,,,,,,,,,,,202122
863,863,boxscore/202111050ORL.html,regular,Amway Center Orlando Florida,November 5 2021,7:00 PM,SAS,1,629,SAS,,2,ORL,W. Carter misses 2-pt layup from 1 ft (block by D. Eubanks),0,W. Carter - cartewe01,2-pt layup,miss,1.0,,D. Eubanks - eubandr01,,,,,,,,,,,,,,,,,,,,,202122
