,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
273407,273407,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,720,IND,Jump ball: M. Turner vs. R. Holmes (D. Sabonis gains possession),0,SAC,,0,,,,,,,,,,,,,,,,,,,,,,,,M. Turner - turnemy01,R. Holmes - holmeri01,D. Sabonis - sabondo01,202122
273408,273408,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,700,IND,C. Duarte makes 2-pt jump shot from 17 ft,2,SAC,,0,C. Duarte - duartch01,2-pt jump shot,make,17.0,,,,,,,,,,,,,,,,,,,,,,,202122
273409,273409,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,677,IND,,2,SAC,D. Fox misses 3-pt jump shot from 26 ft,0,D. Fox - foxde01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
273410,273410,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,674,IND,Defensive rebound by C. Duarte,2,SAC,,0,,,,,,,,,,C. Duarte - duartch01,defensive,,,,,,,,,,,,,,,,202122
273411,273411,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,666,IND,C. Duarte misses 3-pt jump shot from 26 ft,2,SAC,,0,C. Duarte - duartch01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
273412,273412,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,664,IND,,2,SAC,Defensive rebound by D. Fox,0,,,,,,,,,,D. Fox - foxde01,defensive,,,,,,,,,,,,,,,,202122
273413,273413,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,658,IND,,2,SAC,H. Barnes misses 3-pt jump shot from 25 ft,0,H. Barnes - barneha02,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
273414,273414,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,656,IND,,2,SAC,Offensive rebound by T. Haliburton,0,,,,,,,,,,T. Haliburton - halibty01,offensive,,,,,,,,,,,,,,,,202122
273415,273415,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,652,IND,,2,SAC,R. Holmes makes 2-pt dunk from 1 ft (assist by H. Barnes),2,R. Holmes - holmeri01,2-pt dunk,make,1.0,H. Barnes - barneha02,,,,,,,,,,,,,,,,,,,,,,202122
273416,273416,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,636,IND,T. McConnell makes 2-pt layup from 3 ft (assist by C. Duarte),4,SAC,,2,T. McConnell - mccontj01,2-pt layup,make,3.0,C. Duarte - duartch01,,,,,,,,,,,,,,,,,,,,,,202122
273417,273417,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,621,IND,,4,SAC,H. Barnes misses 2-pt jump shot from 8 ft,2,H. Barnes - barneha02,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,202122
273418,273418,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,621,IND,Defensive rebound by M. Turner,4,SAC,,2,,,,,,,,,,M. Turner - turnemy01,defensive,,,,,,,,,,,,,,,,202122
273419,273419,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,613,IND,Turnover by T. McConnell (bad pass; steal by M. Harkless),4,SAC,,2,,,,,,,,,,,,,,,,,,,,T. McConnell - mccontj01,bad pass,steal,M. Harkless - harklma01,,,,202122
273420,273420,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,606,IND,,4,SAC,Turnover by D. Fox (lost ball; steal by C. LeVert),2,,,,,,,,,,,,,,,,,,,,D. Fox - foxde01,lost ball,steal,C. LeVert - leverca01,,,,202122
273421,273421,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,588,IND,D. Sabonis makes 2-pt hook shot from 4 ft (assist by C. Duarte),6,SAC,,2,D. Sabonis - sabondo01,2-pt hook shot,make,4.0,C. Duarte - duartch01,,,,,,,,,,,,,,,,,,,,,,202122
273422,273422,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,576,IND,,6,SAC,Personal foul by C. LeVert (drawn by H. Barnes),2,,,,,,,personal,C. LeVert - leverca01,H. Barnes - barneha02,,,,,,,,,,,,,,,,,,202122
273423,273423,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,567,IND,,6,SAC,T. Haliburton misses 3-pt jump shot from 25 ft,2,T. Haliburton - halibty01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
273424,273424,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,564,IND,Defensive rebound by M. Turner,6,SAC,,2,,,,,,,,,,M. Turner - turnemy01,defensive,,,,,,,,,,,,,,,,202122
273425,273425,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,548,IND,Turnover by D. Sabonis (bad pass; steal by D. Fox),6,SAC,,2,,,,,,,,,,,,,,,,,,,,D. Sabonis - sabondo01,bad pass,steal,D. Fox - foxde01,,,,202122
273426,273426,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,539,IND,,6,SAC,M. Harkless misses 3-pt jump shot from 26 ft,2,M. Harkless - harklma01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
273427,273427,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,535,IND,Defensive rebound by D. Sabonis,6,SAC,,2,,,,,,,,,,D. Sabonis - sabondo01,defensive,,,,,,,,,,,,,,,,202122
273428,273428,boxscore/202111070SAC.html,regular,Golden 1 Center Sacramento California,November 7 2021,6:00 PM,IND,1,524,IND,T. McConnell misses 2-pt jump shot from 8 ft,6,SAC,,2,T. McConnell - mccontj01,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,202122
