,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
49119,49119,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,720,IND,Jump ball: M. Turner vs. J. Green (J. Green gains possession),0,DEN,,0,,,,,,,,,,,,,,,,,,,,,,,,M. Turner - turnemy01,J. Green - greenja01,J. Green - greenje02,202122
49120,49120,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,703,IND,,0,DEN,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Green),3,W. Barton - bartowi01,3-pt jump shot,make,25.0,J. Green - greenja01,,,,,,,,,,,,,,,,,,,,,,202122
49121,49121,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,680,IND,C. Duarte misses 3-pt jump shot from 25 ft,0,DEN,,3,C. Duarte - duartch01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
49122,49122,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,676,IND,,0,DEN,Defensive rebound by W. Barton,3,,,,,,,,,,W. Barton - bartowi01,defensive,,,,,,,,,,,,,,,,202122
49123,49123,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,672,IND,,0,DEN,W. Barton makes 3-pt jump shot from 26 ft (assist by M. Morris),6,W. Barton - bartowi01,3-pt jump shot,make,26.0,M. Morris - morrimo01,,,,,,,,,,,,,,,,,,,,,,202122
49124,49124,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,655,IND,D. Sabonis misses 2-pt jump shot from 7 ft (block by J. Green),0,DEN,,6,D. Sabonis - sabondo01,2-pt jump shot,miss,7.0,,J. Green - greenja01,,,,,,,,,,,,,,,,,,,,,202122
49125,49125,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,655,IND,Offensive rebound by M. Turner,0,DEN,,6,,,,,,,,,,M. Turner - turnemy01,offensive,,,,,,,,,,,,,,,,202122
49126,49126,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,644,IND,Turnover by Team (shot clock),0,DEN,,6,,,,,,,,,,,,,,,,,,,,Team,shot clock,,,,,,202122
49127,49127,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,631,IND,,0,DEN,A. Gordon misses 2-pt jump shot from 14 ft,6,A. Gordon - gordoaa01,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,,202122
49128,49128,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,629,IND,Defensive rebound by D. Sabonis,0,DEN,,6,,,,,,,,,,D. Sabonis - sabondo01,defensive,,,,,,,,,,,,,,,,202122
49129,49129,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,622,IND,M. Brogdon misses 2-pt layup from 2 ft,0,DEN,,6,M. Brogdon - brogdma01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
49130,49130,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,621,IND,,0,DEN,Defensive rebound by M. Morris,6,,,,,,,,,,M. Morris - morrimo01,defensive,,,,,,,,,,,,,,,,202122
49131,49131,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,612,IND,,0,DEN,M. Morris makes 2-pt jump shot from 19 ft,8,M. Morris - morrimo01,2-pt jump shot,make,19.0,,,,,,,,,,,,,,,,,,,,,,,202122
49132,49132,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,588,IND,C. Duarte misses 3-pt jump shot from 26 ft,0,DEN,,8,C. Duarte - duartch01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
49133,49133,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,584,IND,,0,DEN,Defensive rebound by A. Gordon,8,,,,,,,,,,A. Gordon - gordoaa01,defensive,,,,,,,,,,,,,,,,202122
49134,49134,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,570,IND,,0,DEN,J. Green misses 2-pt layup from 8 ft (block by M. Turner),8,J. Green - greenje02,2-pt layup,miss,8.0,,M. Turner - turnemy01,,,,,,,,,,,,,,,,,,,,,202122
49135,49135,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,567,IND,,0,DEN,Offensive rebound by A. Gordon,8,,,,,,,,,,A. Gordon - gordoaa01,offensive,,,,,,,,,,,,,,,,202122
49136,49136,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,566,IND,,0,DEN,M. Morris misses 3-pt jump shot from 26 ft,8,M. Morris - morrimo01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
49137,49137,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,564,IND,Defensive rebound by D. Sabonis,0,DEN,,8,,,,,,,,,,D. Sabonis - sabondo01,defensive,,,,,,,,,,,,,,,,202122
49138,49138,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,553,IND,Shooting foul by J. Green (drawn by M. Turner),0,DEN,,8,,,,,,,shooting,J. Green - greenja01,M. Turner - turnemy01,,,,,,,,,,,,,,,,,,202122
49139,49139,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,553,IND,M. Turner makes free throw 1 of 2,1,DEN,,8,,,,,,,,,,,,,,,M. Turner - turnemy01,make,1 of 2,,,,,,,,,,202122
49140,49140,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,553,IND,M. Turner misses free throw 2 of 2,1,DEN,,8,,,,,,,,,,,,,,,M. Turner - turnemy01,miss,2 of 2,,,,,,,,,,202122
49141,49141,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,549,IND,,1,DEN,Defensive rebound by J. Green,8,,,,,,,,,,J. Green - greenja01,defensive,,,,,,,,,,,,,,,,202122
49142,49142,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,538,IND,,1,DEN,Offensive foul by J. Green (drawn by J. Holiday),8,,,,,,,offensive,J. Green - greenje02,J. Holiday - holidju01,,,,,,,,,,,,,,,,,,202122
49143,49143,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,538,IND,,1,DEN,Turnover by J. Green (offensive foul),8,,,,,,,,,,,,,,,,,,,,J. Green - greenje02,offensive foul,,,,,,202122
49144,49144,boxscore/202111100DEN.html,regular,Ball Arena Denver Colorado,November 10 2021,9:00 PM,DEN,1,524,IND,M. Turner makes 3-pt jump shot from 23 ft (assist by J. Holiday),4,DEN,,8,M. Turner - turnemy01,3-pt jump shot,make,23.0,J. Holiday - holidju01,,,,,,,,,,,,,,,,,,,,,,202122
