,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
14579,14579,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,720,ATL,Jump ball: C. Capela vs. J. Poeltl (T. Young gains possession),0,SAS,,0,,,,,,,,,,,,,,,,,,,,,,,,C. Capela - capelca01,J. Poeltl - poeltja01,T. Young - youngtr01,202122
14580,14580,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,703,ATL,J. Collins misses 3-pt jump shot from 24 ft,0,SAS,,0,J. Collins - collijo01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,202122
14581,14581,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,701,ATL,Offensive rebound by J. Collins,0,SAS,,0,,,,,,,,,,J. Collins - collijo01,offensive,,,,,,,,,,,,,,,,202122
14582,14582,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,700,ATL,J. Collins misses 2-pt dunk from 1 ft,0,SAS,,0,J. Collins - collijo01,2-pt dunk,miss,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
14583,14583,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,700,ATL,Offensive rebound by Team,0,SAS,,0,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,202122
14584,14584,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,692,ATL,T. Young misses 3-pt jump shot from 33 ft,0,SAS,,0,T. Young - youngtr01,3-pt jump shot,miss,33.0,,,,,,,,,,,,,,,,,,,,,,,202122
14585,14585,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,688,ATL,,0,SAS,Defensive rebound by K. Johnson,0,,,,,,,,,,K. Johnson - johnske04,defensive,,,,,,,,,,,,,,,,202122
14586,14586,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,678,ATL,,0,SAS,K. Johnson makes 2-pt dunk from 1 ft (assist by D. Murray),2,K. Johnson - johnske04,2-pt dunk,make,1.0,D. Murray - murrade01,,,,,,,,,,,,,,,,,,,,,,202122
14587,14587,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,658,ATL,K. Huerter misses 3-pt jump shot from 28 ft,0,SAS,,2,K. Huerter - huertke01,3-pt jump shot,miss,28.0,,,,,,,,,,,,,,,,,,,,,,,202122
14588,14588,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,654,ATL,,0,SAS,Defensive rebound by D. Murray,2,,,,,,,,,,D. Murray - murrade01,defensive,,,,,,,,,,,,,,,,202122
14589,14589,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,644,ATL,,0,SAS,D. White misses 3-pt jump shot from 27 ft,2,D. White - whitede01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,202122
14590,14590,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,641,ATL,Defensive rebound by K. Huerter,0,SAS,,2,,,,,,,,,,K. Huerter - huertke01,defensive,,,,,,,,,,,,,,,,202122
14591,14591,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,634,ATL,T. Young makes 2-pt jump shot from 10 ft (assist by K. Huerter),2,SAS,,2,T. Young - youngtr01,2-pt jump shot,make,10.0,K. Huerter - huertke01,,,,,,,,,,,,,,,,,,,,,,202122
14592,14592,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,616,ATL,,2,SAS,D. Murray makes 3-pt jump shot from 26 ft,5,D. Murray - murrade01,3-pt jump shot,make,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
14593,14593,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,590,ATL,K. Huerter misses 3-pt jump shot from 25 ft,2,SAS,,5,K. Huerter - huertke01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
14594,14594,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,585,ATL,,2,SAS,Defensive rebound by D. Murray,5,,,,,,,,,,D. Murray - murrade01,defensive,,,,,,,,,,,,,,,,202122
14595,14595,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,572,ATL,,2,SAS,K. Bates-Diop misses 2-pt layup from 5 ft (block by C. Capela),5,K. Bates-Diop - bateske01,2-pt layup,miss,5.0,,C. Capela - capelca01,,,,,,,,,,,,,,,,,,,,,202122
14596,14596,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,569,ATL,Defensive rebound by T. Young,2,SAS,,5,,,,,,,,,,T. Young - youngtr01,defensive,,,,,,,,,,,,,,,,202122
14597,14597,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,565,ATL,K. Huerter makes 3-pt jump shot from 24 ft (assist by B. Bogdanovi),5,SAS,,5,K. Huerter - huertke01,3-pt jump shot,make,24.0,B. Bogdanović - bogdabo01,,,,,,,,,,,,,,,,,,,,,,202122
14598,14598,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,547,ATL,,5,SAS,D. White makes 2-pt jump shot from 9 ft (assist by D. Murray),7,D. White - whitede01,2-pt jump shot,make,9.0,D. Murray - murrade01,,,,,,,,,,,,,,,,,,,,,,202122
14599,14599,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,534,ATL,T. Young misses 2-pt jump shot from 16 ft,5,SAS,,7,T. Young - youngtr01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,,202122
14600,14600,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,532,ATL,,5,SAS,Defensive rebound by K. Johnson,7,,,,,,,,,,K. Johnson - johnske04,defensive,,,,,,,,,,,,,,,,202122
14601,14601,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,521,ATL,,5,SAS,Turnover by K. Bates-Diop (lost ball; steal by C. Capela),7,,,,,,,,,,,,,,,,,,,,K. Bates-Diop - bateske01,lost ball,steal,C. Capela - capelca01,,,,202122
14602,14602,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,515,ATL,J. Collins misses 2-pt layup from 2 ft,5,SAS,,7,J. Collins - collijo01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
14603,14603,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,513,ATL,,5,SAS,Defensive rebound by J. Poeltl,7,,,,,,,,,,J. Poeltl - poeltja01,defensive,,,,,,,,,,,,,,,,202122
14604,14604,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,497,ATL,,5,SAS,D. Murray misses 3-pt jump shot from 26 ft,7,D. Murray - murrade01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
14605,14605,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,493,ATL,Defensive rebound by C. Capela,5,SAS,,7,,,,,,,,,,C. Capela - capelca01,defensive,,,,,,,,,,,,,,,,202122
14606,14606,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,488,ATL,B. Bogdanovi misses 2-pt layup from 2 ft (block by D. White),5,SAS,,7,B. Bogdanović - bogdabo01,2-pt layup,miss,2.0,,D. White - whitede01,,,,,,,,,,,,,,,,,,,,,202122
14607,14607,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,484,ATL,,5,SAS,Defensive rebound by J. Poeltl,7,,,,,,,,,,J. Poeltl - poeltja01,defensive,,,,,,,,,,,,,,,,202122
14608,14608,boxscore/202111240SAS.html,regular,AT&T Center San Antonio Texas,November 24 2021,8:30 PM,ATL,1,479,ATL,,5,SAS,D. Murray misses 2-pt layup from 1 ft,7,D. Murray - murrade01,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
