,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
310309,310309,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,720,DEN,Jump ball: N. Joki vs. M. Robinson (J. Green gains possession),0,NYK,,0,,,,,,,,,,,,,,,,,,,,,,,,N. Jokić - jokicni01,M. Robinson - robinmi01,J. Green - greenje02,202122
310310,310310,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,695,DEN,N. Joki makes 2-pt jump shot from 16 ft (assist by W. Barton),2,NYK,,0,N. Jokić - jokicni01,2-pt jump shot,make,16.0,W. Barton - bartowi01,,,,,,,,,,,,,,,,,,,,,,202122
310311,310311,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,680,DEN,,2,NYK,R. Barrett misses 3-pt jump shot from 25 ft,0,R. Barrett - barrerj01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
310312,310312,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,675,DEN,Defensive rebound by N. Joki,2,NYK,,0,,,,,,,,,,N. Jokić - jokicni01,defensive,,,,,,,,,,,,,,,,202122
310313,310313,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,658,DEN,A. Gordon makes 2-pt layup from 1 ft (assist by N. Joki),4,NYK,,0,A. Gordon - gordoaa01,2-pt layup,make,1.0,N. Jokić - jokicni01,,,,,,,,,,,,,,,,,,,,,,202122
310314,310314,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,632,DEN,,4,NYK,R. Barrett misses 3-pt jump shot from 25 ft,0,R. Barrett - barrerj01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
310315,310315,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,632,DEN,Defensive rebound by W. Barton,4,NYK,,0,,,,,,,,,,W. Barton - bartowi01,defensive,,,,,,,,,,,,,,,,202122
310316,310316,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,622,DEN,N. Joki misses 3-pt jump shot from 26 ft,4,NYK,,0,N. Jokić - jokicni01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
310317,310317,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,619,DEN,,4,NYK,Defensive rebound by R. Barrett,0,,,,,,,,,,R. Barrett - barrerj01,defensive,,,,,,,,,,,,,,,,202122
310318,310318,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,611,DEN,,4,NYK,M. Robinson misses 2-pt layup from 1 ft,0,M. Robinson - robinmi01,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
310319,310319,boxscore/202112040NYK.html,regular,Madison Square Garden (IV) New York New York,December 4 2021,1:00 PM,DEN,1,611,DEN,,4,NYK,Offensive rebound by M. Robinson,0,,,,,,,,,,M. Robinson - robinmi01,offensive,,,,,,,,,,,,,,,,202122
