,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
121770,121770,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,720,BRK,Jump ball: L. Aldridge vs. I. Stewart (J. Johnson gains possession),0,DET,,0,,,,,,,,,,,,,,,,,,,,,,,,L. Aldridge - aldrila01,I. Stewart - stewais01,J. Johnson - johnsja01,202122
121771,121771,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,700,BRK,,0,DET,S. Bey misses 2-pt jump shot from 20 ft,0,S. Bey - beysa01,2-pt jump shot,miss,20.0,,,,,,,,,,,,,,,,,,,,,,,202122
121772,121772,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,697,BRK,Defensive rebound by P. Mills,0,DET,,0,,,,,,,,,,P. Mills - millspa02,defensive,,,,,,,,,,,,,,,,202122
121773,121773,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,696,BRK,D. Bembry misses 2-pt layup from 5 ft (block by K. Hayes),0,DET,,0,D. Bembry - bembrde01,2-pt layup,miss,5.0,,K. Hayes - hayeski01,,,,,,,,,,,,,,,,,,,,,202122
121774,121774,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,696,BRK,Offensive rebound by Team,0,DET,,0,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,202122
121775,121775,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,690,BRK,L. Aldridge makes 2-pt jump shot from 18 ft (assist by K. Durant),2,DET,,0,L. Aldridge - aldrila01,2-pt jump shot,make,18.0,K. Durant - duranke01,,,,,,,,,,,,,,,,,,,,,,202122
121776,121776,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,668,BRK,,2,DET,C. Cunningham misses 2-pt layup from 4 ft,0,C. Cunningham - cunnica01,2-pt layup,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,202122
121777,121777,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,665,BRK,Defensive rebound by L. Aldridge,2,DET,,0,,,,,,,,,,L. Aldridge - aldrila01,defensive,,,,,,,,,,,,,,,,202122
121778,121778,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,665,BRK,Turnover by L. Aldridge (bad pass; steal by H. Diallo),2,DET,,0,,,,,,,,,,,,,,,,,,,,L. Aldridge - aldrila01,bad pass,steal,H. Diallo - diallha01,,,,202122
121779,121779,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,661,BRK,,2,DET,H. Diallo misses 2-pt layup from 4 ft,0,H. Diallo - diallha01,2-pt layup,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,202122
121780,121780,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,659,BRK,Defensive rebound by D. Bembry,2,DET,,0,,,,,,,,,,D. Bembry - bembrde01,defensive,,,,,,,,,,,,,,,,202122
121781,121781,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,658,BRK,P. Mills makes 2-pt jump shot from 9 ft (assist by D. Bembry),4,DET,,0,P. Mills - millspa02,2-pt jump shot,make,9.0,D. Bembry - bembrde01,,,,,,,,,,,,,,,,,,,,,,202122
121782,121782,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,643,BRK,,4,DET,H. Diallo makes 2-pt layup from 3 ft (assist by K. Hayes),2,H. Diallo - diallha01,2-pt layup,make,3.0,K. Hayes - hayeski01,,,,,,,,,,,,,,,,,,,,,,202122
121783,121783,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,620,BRK,D. Bembry makes 2-pt layup from 2 ft (assist by J. Johnson),6,DET,,2,D. Bembry - bembrde01,2-pt layup,make,2.0,J. Johnson - johnsja01,,,,,,,,,,,,,,,,,,,,,,202122
121784,121784,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,608,BRK,,6,DET,I. Stewart misses 2-pt jump shot from 13 ft,2,I. Stewart - stewais01,2-pt jump shot,miss,13.0,,,,,,,,,,,,,,,,,,,,,,,202122
121785,121785,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,605,BRK,Defensive rebound by D. Bembry,6,DET,,2,,,,,,,,,,D. Bembry - bembrde01,defensive,,,,,,,,,,,,,,,,202122
121786,121786,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,594,BRK,Shooting foul by H. Diallo (drawn by L. Aldridge),6,DET,,2,,,,,,,shooting,H. Diallo - diallha01,L. Aldridge - aldrila01,,,,,,,,,,,,,,,,,,202122
121787,121787,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,594,BRK,L. Aldridge makes free throw 1 of 2,7,DET,,2,,,,,,,,,,,,,,,L. Aldridge - aldrila01,make,1 of 2,,,,,,,,,,202122
121788,121788,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,594,BRK,L. Aldridge makes free throw 2 of 2,8,DET,,2,,,,,,,,,,,,,,,L. Aldridge - aldrila01,make,2 of 2,,,,,,,,,,202122
121789,121789,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,574,BRK,,8,DET,S. Bey misses 3-pt jump shot from 26 ft,2,S. Bey - beysa01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
121790,121790,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,571,BRK,Defensive rebound by D. Bembry,8,DET,,2,,,,,,,,,,D. Bembry - bembrde01,defensive,,,,,,,,,,,,,,,,202122
121791,121791,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,558,BRK,P. Mills misses 3-pt jump shot from 26 ft,8,DET,,2,P. Mills - millspa02,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
121792,121792,boxscore/202112120DET.html,regular,Little Caesars Arena Detroit Michigan,December 12 2021,6:00 PM,BRK,1,556,BRK,,8,DET,Defensive rebound by S. Bey,2,,,,,,,,,,S. Bey - beysa01,defensive,,,,,,,,,,,,,,,,202122
