,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
159562,159562,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,720,HOU,Jump ball: D. Theis vs. J. Allen (D. Garland gains possession),0,CLE,,0,,,,,,,,,,,,,,,,,,,,,,,,D. Theis - theisda01,J. Allen - allenja01,D. Garland - garlada01,202122
159563,159563,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,703,HOU,,0,CLE,Turnover by L. Markkanen (bad pass; steal by D. Theis),0,,,,,,,,,,,,,,,,,,,,L. Markkanen - markkla01,bad pass,steal,D. Theis - theisda01,,,,202122
159564,159564,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,690,HOU,J. Tate misses 2-pt layup from 2 ft,0,CLE,,0,J. Tate - tateja01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
159565,159565,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,688,HOU,,0,CLE,Defensive rebound by D. Wade,0,,,,,,,,,,D. Wade - wadede01,defensive,,,,,,,,,,,,,,,,202122
159566,159566,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,678,HOU,,0,CLE,J. Allen misses 2-pt hook shot from 4 ft,0,J. Allen - allenja01,2-pt hook shot,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,202122
159567,159567,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,675,HOU,,0,CLE,Offensive rebound by J. Allen,0,,,,,,,,,,J. Allen - allenja01,offensive,,,,,,,,,,,,,,,,202122
159568,159568,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,674,HOU,,0,CLE,J. Allen misses 2-pt layup from 1 ft,0,J. Allen - allenja01,2-pt layup,miss,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
159569,159569,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,671,HOU,Defensive rebound by D. Theis,0,CLE,,0,,,,,,,,,,D. Theis - theisda01,defensive,,,,,,,,,,,,,,,,202122
159570,159570,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,664,HOU,D. Theis misses 2-pt jump shot from 17 ft,0,CLE,,0,D. Theis - theisda01,2-pt jump shot,miss,17.0,,,,,,,,,,,,,,,,,,,,,,,202122
159571,159571,boxscore/202112150CLE.html,regular,Rocket Mortgage Fieldhouse Cleveland Ohio,December 15 2021,7:00 PM,CLE,1,660,HOU,,0,CLE,Defensive rebound by D. Wade,0,,,,,,,,,,D. Wade - wadede01,defensive,,,,,,,,,,,,,,,,202122
