,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
224030,224030,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,720,ORL,Jump ball: R. Lopez vs. J. Collins (S. Mays gains possession),0,ATL,,0,,,,,,,,,,,,,,,,,,,,,,,,R. Lopez - lopezro01,J. Collins - collijo01,S. Mays - mayssk01,202122
224031,224031,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,699,ORL,,0,ATL,J. Collins makes 2-pt hook shot from 5 ft (assist by D. Wright),2,J. Collins - collijo01,2-pt hook shot,make,5.0,D. Wright - wrighde01,,,,,,,,,,,,,,,,,,,,,,202122
224032,224032,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,680,ORL,G. Harris makes 3-pt jump shot from 25 ft (assist by F. Wagner),3,ATL,,2,G. Harris - harriga01,3-pt jump shot,make,25.0,F. Wagner - wagnefr01,,,,,,,,,,,,,,,,,,,,,,202122
224033,224033,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,665,ORL,,3,ATL,J. Collins makes 2-pt jump shot from 6 ft,4,J. Collins - collijo01,2-pt jump shot,make,6.0,,,,,,,,,,,,,,,,,,,,,,,202122
224034,224034,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,644,ORL,R. Lopez misses 2-pt hook shot from 6 ft,3,ATL,,4,R. Lopez - lopezro01,2-pt hook shot,miss,6.0,,,,,,,,,,,,,,,,,,,,,,,202122
224035,224035,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,639,ORL,,3,ATL,Defensive rebound by G. Dieng,4,,,,,,,,,,G. Dieng - dienggo01,defensive,,,,,,,,,,,,,,,,202122
224036,224036,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,626,ORL,,3,ATL,C. Reddish makes 3-pt jump shot from 26 ft,7,C. Reddish - reddica01,3-pt jump shot,make,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
224037,224037,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,608,ORL,C. Okeke makes 2-pt dunk at rim,5,ATL,,7,C. Okeke - okekech01,2-pt dunk,make,0.0,,,,,,,,,,,,,,,,,,,,,,,202122
224038,224038,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,591,ORL,,5,ATL,C. Reddish makes 3-pt jump shot from 27 ft (assist by J. Collins),10,C. Reddish - reddica01,3-pt jump shot,make,27.0,J. Collins - collijo01,,,,,,,,,,,,,,,,,,,,,,202122
224039,224039,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,579,ORL,F. Wagner makes 2-pt layup from 1 ft,7,ATL,,10,F. Wagner - wagnefr01,2-pt layup,make,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
224040,224040,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,579,ORL,,7,ATL,Violation by Team (def goaltending),10,,,,,,,,,,,,Team,def goaltending,,,,,,,,,,,,,,202122
224041,224041,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,568,ORL,,7,ATL,Shooting foul by R. Lopez (drawn by C. Reddish),10,,,,,,,shooting,R. Lopez - lopezro01,C. Reddish - reddica01,,,,,,,,,,,,,,,,,,202122
224042,224042,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,568,ORL,,7,ATL,C. Reddish misses free throw 1 of 2,10,,,,,,,,,,,,,,,C. Reddish - reddica01,miss,1 of 2,,,,,,,,,,202122
224043,224043,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,568,ORL,,7,ATL,Offensive rebound by Team,10,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,202122
224044,224044,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,568,ORL,,7,ATL,C. Reddish makes free throw 2 of 2,11,,,,,,,,,,,,,,,C. Reddish - reddica01,make,2 of 2,,,,,,,,,,202122
224045,224045,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,545,ORL,H. Gravett misses 3-pt jump shot from 26 ft,7,ATL,,11,H. Gravett - graveha01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
224046,224046,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,541,ORL,,7,ATL,Defensive rebound by D. Wright,11,,,,,,,,,,D. Wright - wrighde01,defensive,,,,,,,,,,,,,,,,202122
224047,224047,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,523,ORL,,7,ATL,Turnover by D. Wright (bad pass; steal by C. Okeke),11,,,,,,,,,,,,,,,,,,,,D. Wright - wrighde01,bad pass,steal,C. Okeke - okekech01,,,,202122
224048,224048,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,512,ORL,F. Wagner makes 3-pt jump shot from 26 ft,10,ATL,,11,F. Wagner - wagnefr01,3-pt jump shot,make,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
224049,224049,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,496,ORL,,10,ATL,C. Reddish misses 2-pt jump shot from 21 ft,11,C. Reddish - reddica01,2-pt jump shot,miss,21.0,,,,,,,,,,,,,,,,,,,,,,,202122
224050,224050,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,493,ORL,Defensive rebound by C. Okeke,10,ATL,,11,,,,,,,,,,C. Okeke - okekech01,defensive,,,,,,,,,,,,,,,,202122
224051,224051,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,484,ORL,F. Wagner makes 2-pt layup from 2 ft (assist by H. Gravett),12,ATL,,11,F. Wagner - wagnefr01,2-pt layup,make,2.0,H. Gravett - graveha01,,,,,,,,,,,,,,,,,,,,,,202122
224052,224052,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,470,ORL,,12,ATL,Turnover by J. Collins (bad pass; steal by G. Harris),11,,,,,,,,,,,,,,,,,,,,J. Collins - collijo01,bad pass,steal,G. Harris - harriga01,,,,202122
224053,224053,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,469,ORL,,12,ATL,Clear path foul by C. Reddish,11,,,,,,,clear path,C. Reddish - reddica01,,,,,,,,,,,,,,,,,,,202122
224054,224054,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,469,ORL,,12,ATL,Instant Replay (Request: Ruling Stands),11,,,,,,,,,,,,,,,,,,,,,,,,,,,202122
224055,224055,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,469,ORL,G. Harris makes clear path free throw 1 of 2,13,ATL,,11,,,,,,,,,,,,,,,G. Harris - harriga01,make,1 of 2,,,,,,,,,,202122
224056,224056,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,469,ORL,G. Harris makes clear path free throw 2 of 2,14,ATL,,11,,,,,,,,,,,,,,,G. Harris - harriga01,make,2 of 2,,,,,,,,,,202122
224057,224057,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,459,ORL,F. Wagner misses 2-pt layup from 5 ft (block by C. Reddish),14,ATL,,11,F. Wagner - wagnefr01,2-pt layup,miss,5.0,,C. Reddish - reddica01,,,,,,,,,,,,,,,,,,,,,202122
224058,224058,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,456,ORL,,14,ATL,Defensive rebound by S. Mays,11,,,,,,,,,,S. Mays - mayssk01,defensive,,,,,,,,,,,,,,,,202122
224059,224059,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,454,ORL,,14,ATL,Turnover by D. Wright (lost ball; steal by F. Wagner),11,,,,,,,,,,,,,,,,,,,,D. Wright - wrighde01,lost ball,steal,F. Wagner - wagnefr01,,,,202122
224060,224060,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,438,ORL,H. Gravett makes 3-pt jump shot from 26 ft (assist by C. Okeke),17,ATL,,11,H. Gravett - graveha01,3-pt jump shot,make,26.0,C. Okeke - okekech01,,,,,,,,,,,,,,,,,,,,,,202122
224061,224061,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,413,ORL,,17,ATL,S. Mays misses 3-pt jump shot from 23 ft,11,S. Mays - mayssk01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
224062,224062,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,409,ORL,Defensive rebound by R. Lopez,17,ATL,,11,,,,,,,,,,R. Lopez - lopezro01,defensive,,,,,,,,,,,,,,,,202122
224063,224063,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,397,ORL,G. Harris misses 2-pt layup from 2 ft,17,ATL,,11,G. Harris - harriga01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
224064,224064,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,395,ORL,Offensive rebound by R. Lopez,17,ATL,,11,,,,,,,,,,R. Lopez - lopezro01,offensive,,,,,,,,,,,,,,,,202122
224065,224065,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,393,ORL,R. Lopez makes 2-pt hook shot from 3 ft,19,ATL,,11,R. Lopez - lopezro01,2-pt hook shot,make,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
224066,224066,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,392,ORL,,19,ATL,Atlanta full timeout,11,,,,,,,,,,,,,,ATL,,,,,,,,,,,,,202122
224067,224067,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,392,ORL,T. Frazier enters the game for H. Gravett,19,ATL,,11,,,,,,,,,,,,,,,,,,T. Frazier - fraziti01,H. Gravett - graveha01,,,,,,,,202122
224068,224068,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,392,ORL,,19,ATL,O. Okongwu enters the game for G. Dieng,11,,,,,,,,,,,,,,,,,,O. Okongwu - okongon01,G. Dieng - dienggo01,,,,,,,,202122
224069,224069,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,375,ORL,,19,ATL,C. Reddish misses 2-pt layup from 3 ft,11,C. Reddish - reddica01,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
224070,224070,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,372,ORL,,19,ATL,Offensive rebound by O. Okongwu,11,,,,,,,,,,O. Okongwu - okongon01,offensive,,,,,,,,,,,,,,,,202122
224071,224071,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,370,ORL,,19,ATL,C. Reddish misses 3-pt jump shot from 25 ft,11,C. Reddish - reddica01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
224072,224072,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,367,ORL,,19,ATL,Offensive rebound by J. Collins,11,,,,,,,,,,J. Collins - collijo01,offensive,,,,,,,,,,,,,,,,202122
224073,224073,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,367,ORL,,19,ATL,J. Collins misses 2-pt layup from 3 ft,11,J. Collins - collijo01,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
224074,224074,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,367,ORL,Defensive rebound by G. Harris,19,ATL,,11,,,,,,,,,,G. Harris - harriga01,defensive,,,,,,,,,,,,,,,,202122
224075,224075,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,360,ORL,G. Harris misses 3-pt jump shot from 26 ft,19,ATL,,11,G. Harris - harriga01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
224076,224076,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,357,ORL,,19,ATL,Defensive rebound by J. Collins,11,,,,,,,,,,J. Collins - collijo01,defensive,,,,,,,,,,,,,,,,202122
224077,224077,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,348,ORL,,19,ATL,Turnover by S. Mays (bad pass; steal by C. Okeke),11,,,,,,,,,,,,,,,,,,,,S. Mays - mayssk01,bad pass,steal,C. Okeke - okekech01,,,,202122
224078,224078,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,343,ORL,Turnover by T. Frazier (bad pass),19,ATL,,11,,,,,,,,,,,,,,,,,,,,T. Frazier - fraziti01,bad pass,,,,,,202122
224079,224079,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,343,ORL,,19,ATL,B. Bogdanovi enters the game for S. Mays,11,,,,,,,,,,,,,,,,,,B. Bogdanović - bogdabo01,S. Mays - mayssk01,,,,,,,,202122
224080,224080,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,326,ORL,,19,ATL,Shooting foul by G. Harris (drawn by B. Bogdanovi),11,,,,,,,shooting,G. Harris - harriga01,B. Bogdanović - bogdabo01,,,,,,,,,,,,,,,,,,202122
224081,224081,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,326,ORL,,19,ATL,B. Bogdanovi makes free throw 1 of 2,12,,,,,,,,,,,,,,,B. Bogdanović - bogdabo01,make,1 of 2,,,,,,,,,,202122
224082,224082,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,326,ORL,,19,ATL,B. Bogdanovi misses free throw 2 of 2,12,,,,,,,,,,,,,,,B. Bogdanović - bogdabo01,miss,2 of 2,,,,,,,,,,202122
224083,224083,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,324,ORL,Defensive rebound by C. Okeke,19,ATL,,12,,,,,,,,,,C. Okeke - okekech01,defensive,,,,,,,,,,,,,,,,202122
224084,224084,boxscore/202112220ATL.html,regular,State Farm Arena Atlanta Georgia,December 22 2021,7:30 PM,ORL,1,307,ORL,Offensive foul by R. Lopez (drawn by J. Collins),19,ATL,,12,,,,,,,offensive,R. Lopez - lopezro01,J. Collins - collijo01,,,,,,,,,,,,,,,,,,202122
