,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
184224,184224,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,720,DET,Jump ball: T. Lyles vs. D. Dedmon (H. Diallo gains possession),0,MIA,,0,,,,,,,,,,,,,,,,,,,,,,,,T. Lyles - lylestr01,D. Dedmon - dedmode01,H. Diallo - diallha01,202122
184225,184225,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,714,DET,H. Diallo misses 2-pt layup from 5 ft,0,MIA,,0,H. Diallo - diallha01,2-pt layup,miss,5.0,,,,,,,,,,,,,,,,,,,,,,,202122
184226,184226,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,712,DET,,0,MIA,Defensive rebound by D. Robinson,0,,,,,,,,,,D. Robinson - robindu01,defensive,,,,,,,,,,,,,,,,202122
184227,184227,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,698,DET,,0,MIA,G. Vincent misses 3-pt jump shot from 23 ft,0,G. Vincent - vincega01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
184228,184228,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,695,DET,Defensive rebound by T. Lyles,0,MIA,,0,,,,,,,,,,T. Lyles - lylestr01,defensive,,,,,,,,,,,,,,,,202122
184229,184229,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,674,DET,T. Lyles misses 2-pt jump shot from 15 ft,0,MIA,,0,T. Lyles - lylestr01,2-pt jump shot,miss,15.0,,,,,,,,,,,,,,,,,,,,,,,202122
184230,184230,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,672,DET,,0,MIA,Defensive rebound by K. Lowry,0,,,,,,,,,,K. Lowry - lowryky01,defensive,,,,,,,,,,,,,,,,202122
184231,184231,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,663,DET,,0,MIA,Personal foul by F. Jackson (drawn by D. Dedmon),0,,,,,,,personal,F. Jackson - jacksfr01,D. Dedmon - dedmode01,,,,,,,,,,,,,,,,,,202122
184232,184232,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,652,DET,,0,MIA,D. Robinson misses 2-pt layup from 6 ft,0,D. Robinson - robindu01,2-pt layup,miss,6.0,,,,,,,,,,,,,,,,,,,,,,,202122
184233,184233,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,650,DET,Defensive rebound by S. Bey,0,MIA,,0,,,,,,,,,,S. Bey - beysa01,defensive,,,,,,,,,,,,,,,,202122
184234,184234,boxscore/202112230MIA.html,regular,FTX Arena Miami Florida,December 23 2021,7:30 PM,MIA,1,644,DET,F. Jackson makes 3-pt jump shot from 24 ft (assist by S. Bey),3,MIA,,0,F. Jackson - jacksfr01,3-pt jump shot,make,24.0,S. Bey - beysa01,,,,,,,,,,,,,,,,,,,,,,202122
