,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
245957,245957,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,720,HOU,Jump ball: C. Wood vs. M. Plumlee (L. Ball gains possession),0,CHO,,0,,,,,,,,,,,,,,,,,,,,,,,,C. Wood - woodch01,M. Plumlee - plumlma01,L. Ball - ballla01,202122
245958,245958,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,704,HOU,,0,CHO,G. Hayward makes 3-pt jump shot from 25 ft (assist by M. Plumlee),3,G. Hayward - haywago01,3-pt jump shot,make,25.0,M. Plumlee - plumlma01,,,,,,,,,,,,,,,,,,,,,,202122
245959,245959,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,690,HOU,D. Nwaba misses 2-pt layup from 2 ft (block by M. Plumlee),0,CHO,,3,D. Nwaba - nwabada01,2-pt layup,miss,2.0,,M. Plumlee - plumlma01,,,,,,,,,,,,,,,,,,,,,202122
245960,245960,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,687,HOU,,0,CHO,Defensive rebound by M. Plumlee,3,,,,,,,,,,M. Plumlee - plumlma01,defensive,,,,,,,,,,,,,,,,202122
245961,245961,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,684,HOU,,0,CHO,G. Hayward misses 3-pt jump shot from 27 ft,3,G. Hayward - haywago01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,202122
245962,245962,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,683,HOU,Defensive rebound by Team,0,CHO,,3,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,202122
245963,245963,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,683,HOU,,0,CHO,Loose ball foul by L. Ball (drawn by C. Wood),3,,,,,,,loose ball,L. Ball - ballla01,C. Wood - woodch01,,,,,,,,,,,,,,,,,,202122
245964,245964,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,668,HOU,Personal foul by J. McDaniels (drawn by D. Nwaba),0,CHO,,3,,,,,,,personal,J. McDaniels - mcdanja01,D. Nwaba - nwabada01,,,,,,,,,,,,,,,,,,202122
245965,245965,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,656,HOU,J. Christopher misses 2-pt jump shot from 11 ft,0,CHO,,3,J. Christopher - chrisjo01,2-pt jump shot,miss,11.0,,,,,,,,,,,,,,,,,,,,,,,202122
245966,245966,boxscore/202112270CHO.html,regular,Spectrum Center Charlotte North Carolina,December 27 2021,7:00 PM,CHO,1,654,HOU,,0,CHO,Defensive rebound by L. Ball,3,,,,,,,,,,L. Ball - ballla01,defensive,,,,,,,,,,,,,,,,202122
