,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
399179,399179,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,720,MEM,Jump ball: S. Adams vs. J. McGee (C. Johnson gains possession),0,PHO,,0,,,,,,,,,,,,,,,,,,,,,,,,S. Adams - adamsst01,J. McGee - mcgeeja01,C. Johnson - johnsca02,202122
399180,399180,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,702,MEM,,0,PHO,C. Johnson misses 2-pt jump shot from 8 ft,0,C. Johnson - johnsca02,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,202122
399181,399181,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,699,MEM,Defensive rebound by D. Bane,0,PHO,,0,,,,,,,,,,D. Bane - banede01,defensive,,,,,,,,,,,,,,,,202122
399182,399182,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,695,MEM,D. Bane misses 2-pt layup from 5 ft,0,PHO,,0,D. Bane - banede01,2-pt layup,miss,5.0,,,,,,,,,,,,,,,,,,,,,,,202122
399183,399183,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,695,MEM,Offensive rebound by S. Adams,0,PHO,,0,,,,,,,,,,S. Adams - adamsst01,offensive,,,,,,,,,,,,,,,,202122
399184,399184,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,691,MEM,S. Adams misses 2-pt hook shot from 5 ft,0,PHO,,0,S. Adams - adamsst01,2-pt hook shot,miss,5.0,,,,,,,,,,,,,,,,,,,,,,,202122
399185,399185,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,691,MEM,,0,PHO,Defensive rebound by C. Paul,0,,,,,,,,,,C. Paul - paulch01,defensive,,,,,,,,,,,,,,,,202122
399186,399186,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,681,MEM,,0,PHO,C. Johnson makes 2-pt layup from 5 ft (assist by C. Paul),2,C. Johnson - johnsca02,2-pt layup,make,5.0,C. Paul - paulch01,,,,,,,,,,,,,,,,,,,,,,202122
399187,399187,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,664,MEM,D. Bane makes 2-pt layup from 8 ft (assist by S. Adams),2,PHO,,2,D. Bane - banede01,2-pt layup,make,8.0,S. Adams - adamsst01,,,,,,,,,,,,,,,,,,,,,,202122
399188,399188,boxscore/202112270PHO.html,regular,Phoenix Suns Arena Phoenix Arizona,December 27 2021,9:00 PM,MEM,1,641,MEM,,2,PHO,D. Booker misses 2-pt jump shot from 14 ft,2,D. Booker - bookede01,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,,202122
