,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
142662,142662,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,720,PHI,Jump ball: J. Embiid vs. L. Aldridge (S. Curry gains possession),0,BRK,,0,,,,,,,,,,,,,,,,,,,,,,,,J. Embiid - embiijo01,L. Aldridge - aldrila01,S. Curry - curryse01,202122
142663,142663,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,702,PHI,Turnover by J. Embiid (lost ball; steal by J. Harden),0,BRK,,0,,,,,,,,,,,,,,,,,,,,J. Embiid - embiijo01,lost ball,steal,J. Harden - hardeja01,,,,202122
142664,142664,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,696,PHI,,0,BRK,J. Harden misses 2-pt layup from 5 ft,0,J. Harden - hardeja01,2-pt layup,miss,5.0,,,,,,,,,,,,,,,,,,,,,,,202122
142665,142665,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,694,PHI,,0,BRK,Offensive rebound by N. Claxton,0,,,,,,,,,,N. Claxton - claxtni01,offensive,,,,,,,,,,,,,,,,202122
142666,142666,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,692,PHI,,0,BRK,N. Claxton makes 2-pt layup at rim,2,N. Claxton - claxtni01,2-pt layup,make,0.0,,,,,,,,,,,,,,,,,,,,,,,202122
142667,142667,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,678,PHI,J. Embiid makes 3-pt jump shot from 25 ft (assist by S. Curry),3,BRK,,2,J. Embiid - embiijo01,3-pt jump shot,make,25.0,S. Curry - curryse01,,,,,,,,,,,,,,,,,,,,,,202122
142668,142668,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,658,PHI,,3,BRK,J. Harden misses 2-pt jump shot from 9 ft,2,J. Harden - hardeja01,2-pt jump shot,miss,9.0,,,,,,,,,,,,,,,,,,,,,,,202122
142669,142669,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,657,PHI,,3,BRK,Offensive rebound by N. Claxton,2,,,,,,,,,,N. Claxton - claxtni01,offensive,,,,,,,,,,,,,,,,202122
142670,142670,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,657,PHI,,3,BRK,N. Claxton misses 2-pt layup at rim,2,N. Claxton - claxtni01,2-pt layup,miss,0.0,,,,,,,,,,,,,,,,,,,,,,,202122
142671,142671,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,657,PHI,Defensive rebound by Team,3,BRK,,2,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,202122
142672,142672,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,647,PHI,S. Curry misses 2-pt jump shot from 12 ft,3,BRK,,2,S. Curry - curryse01,2-pt jump shot,miss,12.0,,,,,,,,,,,,,,,,,,,,,,,202122
142673,142673,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,643,PHI,Offensive rebound by T. Maxey,3,BRK,,2,,,,,,,,,,T. Maxey - maxeyty01,offensive,,,,,,,,,,,,,,,,202122
142674,142674,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,641,PHI,T. Maxey makes 2-pt jump shot from 7 ft,5,BRK,,2,T. Maxey - maxeyty01,2-pt jump shot,make,7.0,,,,,,,,,,,,,,,,,,,,,,,202122
142675,142675,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,632,PHI,,5,BRK,K. Durant misses 2-pt jump shot from 18 ft,2,K. Durant - duranke01,2-pt jump shot,miss,18.0,,,,,,,,,,,,,,,,,,,,,,,202122
142676,142676,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,632,PHI,Defensive rebound by M. Thybulle,5,BRK,,2,,,,,,,,,,M. Thybulle - thybuma01,defensive,,,,,,,,,,,,,,,,202122
142677,142677,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,623,PHI,T. Harris misses 2-pt jump shot from 3 ft,5,BRK,,2,T. Harris - harrito02,2-pt jump shot,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
142678,142678,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,623,PHI,,5,BRK,Defensive rebound by J. Harden,2,,,,,,,,,,J. Harden - hardeja01,defensive,,,,,,,,,,,,,,,,202122
142679,142679,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,616,PHI,,5,BRK,J. Harden misses 2-pt layup from 2 ft,2,J. Harden - hardeja01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
142680,142680,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,614,PHI,Defensive rebound by T. Harris,5,BRK,,2,,,,,,,,,,T. Harris - harrito02,defensive,,,,,,,,,,,,,,,,202122
142681,142681,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,613,PHI,S. Curry makes 3-pt jump shot from 24 ft (assist by T. Harris),8,BRK,,2,S. Curry - curryse01,3-pt jump shot,make,24.0,T. Harris - harrito02,,,,,,,,,,,,,,,,,,,,,,202122
142682,142682,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,596,PHI,,8,BRK,Turnover by K. Durant (bad pass; steal by M. Thybulle),2,,,,,,,,,,,,,,,,,,,,K. Durant - duranke01,bad pass,steal,M. Thybulle - thybuma01,,,,202122
142683,142683,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,595,PHI,M. Thybulle makes 2-pt dunk at rim,10,BRK,,2,M. Thybulle - thybuma01,2-pt dunk,make,0.0,,,,,,,,,,,,,,,,,,,,,,,202122
142684,142684,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,595,PHI,,10,BRK,Brooklyn full timeout,2,,,,,,,,,,,,,,BRK,,,,,,,,,,,,,202122
142685,142685,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,583,PHI,,10,BRK,Turnover by L. Aldridge (bad pass; steal by J. Embiid),2,,,,,,,,,,,,,,,,,,,,L. Aldridge - aldrila01,bad pass,steal,J. Embiid - embiijo01,,,,202122
142686,142686,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,578,PHI,S. Curry misses 3-pt jump shot from 25 ft,10,BRK,,2,S. Curry - curryse01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
142687,142687,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,576,PHI,,10,BRK,Defensive rebound by J. Harden,2,,,,,,,,,,J. Harden - hardeja01,defensive,,,,,,,,,,,,,,,,202122
142688,142688,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,569,PHI,,10,BRK,N. Claxton misses 2-pt hook shot from 5 ft,2,N. Claxton - claxtni01,2-pt hook shot,miss,5.0,,,,,,,,,,,,,,,,,,,,,,,202122
142689,142689,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,566,PHI,Defensive rebound by T. Harris,10,BRK,,2,,,,,,,,,,T. Harris - harrito02,defensive,,,,,,,,,,,,,,,,202122
142690,142690,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,561,PHI,T. Harris misses 2-pt layup from 3 ft,10,BRK,,2,T. Harris - harrito02,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
142691,142691,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,558,PHI,,10,BRK,Defensive rebound by L. Aldridge,2,,,,,,,,,,L. Aldridge - aldrila01,defensive,,,,,,,,,,,,,,,,202122
142692,142692,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,552,PHI,,10,BRK,K. Durant makes 3-pt jump shot from 26 ft (assist by J. Harden),5,K. Durant - duranke01,3-pt jump shot,make,26.0,J. Harden - hardeja01,,,,,,,,,,,,,,,,,,,,,,202122
142693,142693,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,531,PHI,J. Embiid makes 2-pt jump shot from 8 ft,12,BRK,,5,J. Embiid - embiijo01,2-pt jump shot,make,8.0,,,,,,,,,,,,,,,,,,,,,,,202122
142694,142694,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,520,PHI,,12,BRK,Shooting foul by M. Thybulle (drawn by J. Harden),5,,,,,,,shooting,M. Thybulle - thybuma01,J. Harden - hardeja01,,,,,,,,,,,,,,,,,,202122
142695,142695,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,520,PHI,,12,BRK,J. Harden makes free throw 1 of 2,6,,,,,,,,,,,,,,,J. Harden - hardeja01,make,1 of 2,,,,,,,,,,202122
142696,142696,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,520,PHI,,12,BRK,J. Harden makes free throw 2 of 2,7,,,,,,,,,,,,,,,J. Harden - hardeja01,make,2 of 2,,,,,,,,,,202122
142697,142697,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,507,PHI,T. Maxey makes 3-pt jump shot from 26 ft (assist by S. Curry),15,BRK,,7,T. Maxey - maxeyty01,3-pt jump shot,make,26.0,S. Curry - curryse01,,,,,,,,,,,,,,,,,,,,,,202122
142698,142698,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,494,PHI,,15,BRK,N. Claxton makes 2-pt dunk at rim (assist by K. Durant),9,N. Claxton - claxtni01,2-pt dunk,make,0.0,K. Durant - duranke01,,,,,,,,,,,,,,,,,,,,,,202122
142699,142699,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,480,PHI,Def 3 sec tech foul by Team,15,BRK,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,202122
142700,142700,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,480,PHI,S. Curry makes technical free throw,16,BRK,,9,,,,,,,,,,,,,,,S. Curry - curryse01,make,technical,,,,,,,,,,202122
142701,142701,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,471,PHI,J. Embiid makes 2-pt jump shot from 15 ft,18,BRK,,9,J. Embiid - embiijo01,2-pt jump shot,make,15.0,,,,,,,,,,,,,,,,,,,,,,,202122
142702,142702,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,458,PHI,,18,BRK,J. Harden makes 2-pt jump shot from 10 ft,11,J. Harden - hardeja01,2-pt jump shot,make,10.0,,,,,,,,,,,,,,,,,,,,,,,202122
142703,142703,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,450,PHI,J. Embiid misses 2-pt jump shot from 14 ft,18,BRK,,11,J. Embiid - embiijo01,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,,202122
142704,142704,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,447,PHI,,18,BRK,Defensive rebound by K. Durant,11,,,,,,,,,,K. Durant - duranke01,defensive,,,,,,,,,,,,,,,,202122
142705,142705,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,443,PHI,,18,BRK,Turnover by J. Harden (lost ball; steal by M. Thybulle),11,,,,,,,,,,,,,,,,,,,,J. Harden - hardeja01,lost ball,steal,M. Thybulle - thybuma01,,,,202122
142706,142706,boxscore/202112300BRK.html,regular,Barclays Center Brooklyn New York,December 30 2021,7:00 PM,PHI,1,439,PHI,S. Curry misses 3-pt jump shot from 25 ft,18,BRK,,11,S. Curry - curryse01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
