,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
601137,601137,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,720,CLE,Jump ball: J. Allen vs. J. Nurki (L. Markkanen gains possession),0,POR,,0,,,,,,,,,,,,,,,,,,,,,,,,J. Allen - allenja01,J. Nurkić - nurkiju01,L. Markkanen - markkla01,202122
601138,601138,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,703,CLE,D. Garland misses 3-pt jump shot from 27 ft,0,POR,,0,D. Garland - garlada01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,202122
601139,601139,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,698,CLE,,0,POR,Defensive rebound by R. Covington,0,,,,,,,,,,R. Covington - covinro01,defensive,,,,,,,,,,,,,,,,202122
601140,601140,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,689,CLE,,0,POR,R. Covington misses 3-pt jump shot from 26 ft,0,R. Covington - covinro01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
601141,601141,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,685,CLE,Defensive rebound by J. Allen,0,POR,,0,,,,,,,,,,J. Allen - allenja01,defensive,,,,,,,,,,,,,,,,202122
601142,601142,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,677,CLE,L. Stevens misses 2-pt layup from 2 ft (block by A. Simons),0,POR,,0,L. Stevens - stevela01,2-pt layup,miss,2.0,,A. Simons - simonan01,,,,,,,,,,,,,,,,,,,,,202122
601143,601143,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,677,CLE,Offensive rebound by Team,0,POR,,0,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,202122
601144,601144,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,664,CLE,E. Mobley misses 2-pt hook shot from 6 ft,0,POR,,0,E. Mobley - mobleev01,2-pt hook shot,miss,6.0,,,,,,,,,,,,,,,,,,,,,,,202122
601145,601145,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,662,CLE,,0,POR,Defensive rebound by R. Covington,0,,,,,,,,,,R. Covington - covinro01,defensive,,,,,,,,,,,,,,,,202122
601146,601146,boxscore/202201070POR.html,regular,Moda Center Portland Oregon,January 7 2022,10:00 PM,CLE,1,652,CLE,,0,POR,N. Powell makes 2-pt layup from 1 ft,2,N. Powell - powelno01,2-pt layup,make,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
