,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
462403,462403,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,720,DEN,Jump ball: N. Joki vs. D. Favors (J. Green gains possession),0,OKC,,0,,,,,,,,,,,,,,,,,,,,,,,,N. Jokić - jokicni01,D. Favors - favorde01,J. Green - greenja01,202122
462404,462404,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,703,DEN,Offensive foul by J. Green (drawn by L. Dort),0,OKC,,0,,,,,,,offensive,J. Green - greenja01,L. Dort - dortlu01,,,,,,,,,,,,,,,,,,202122
462405,462405,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,703,DEN,Turnover by J. Green (offensive foul),0,OKC,,0,,,,,,,,,,,,,,,,,,,,J. Green - greenja01,offensive foul,,,,,,202122
462406,462406,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,685,DEN,,0,OKC,J. Robinson-Earl misses 3-pt jump shot from 27 ft,0,J. Robinson-Earl - robinje02,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,202122
462407,462407,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,682,DEN,Defensive rebound by N. Joki,0,OKC,,0,,,,,,,,,,N. Jokić - jokicni01,defensive,,,,,,,,,,,,,,,,202122
462408,462408,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,675,DEN,W. Barton makes 3-pt jump shot from 27 ft (assist by N. Joki),3,OKC,,0,W. Barton - bartowi01,3-pt jump shot,make,27.0,N. Jokić - jokicni01,,,,,,,,,,,,,,,,,,,,,,202122
462409,462409,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,660,DEN,,3,OKC,Personal foul by A. Gordon (drawn by S. Gilgeous-Alexander),0,,,,,,,personal,A. Gordon - gordoaa01,S. Gilgeous-Alexander - gilgesh01,,,,,,,,,,,,,,,,,,202122
462410,462410,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,652,DEN,,3,OKC,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Morris),0,,,,,,,,,,,,,,,,,,,,S. Gilgeous-Alexander - gilgesh01,bad pass,steal,M. Morris - morrimo01,,,,202122
462411,462411,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,642,DEN,A. Gordon misses 2-pt layup from 5 ft,3,OKC,,0,A. Gordon - gordoaa01,2-pt layup,miss,5.0,,,,,,,,,,,,,,,,,,,,,,,202122
462412,462412,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,634,DEN,Offensive rebound by A. Gordon,3,OKC,,0,,,,,,,,,,A. Gordon - gordoaa01,offensive,,,,,,,,,,,,,,,,202122
462413,462413,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,634,DEN,A. Gordon makes 2-pt layup at rim,5,OKC,,0,A. Gordon - gordoaa01,2-pt layup,make,0.0,,,,,,,,,,,,,,,,,,,,,,,202122
462414,462414,boxscore/202201090OKC.html,regular,Paycom Center Oklahoma City Oklahoma,January 9 2022,7:00 PM,DEN,1,628,DEN,,5,OKC,J. Giddey misses 2-pt layup from 3 ft,0,J. Giddey - giddejo01,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
