,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
215674,215674,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,720,PHI,Jump ball: J. Embiid vs. C. Wood (D. Green gains possession),0,HOU,,0,,,,,,,,,,,,,,,,,,,,,,,,J. Embiid - embiijo01,C. Wood - woodch01,D. Green - greenda02,202122
215675,215675,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,696,PHI,J. Embiid misses 2-pt jump shot from 12 ft,0,HOU,,0,J. Embiid - embiijo01,2-pt jump shot,miss,12.0,,,,,,,,,,,,,,,,,,,,,,,202122
215676,215676,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,696,PHI,,0,HOU,Defensive rebound by C. Wood,0,,,,,,,,,,C. Wood - woodch01,defensive,,,,,,,,,,,,,,,,202122
215677,215677,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,673,PHI,,0,HOU,D. Theis makes 3-pt jump shot from 26 ft (assist by K. Porter),3,D. Theis - theisda01,3-pt jump shot,make,26.0,K. Porter - porteke02,,,,,,,,,,,,,,,,,,,,,,202122
215678,215678,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,655,PHI,M. Thybulle misses 3-pt jump shot from 24 ft,0,HOU,,3,M. Thybulle - thybuma01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,202122
215679,215679,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,654,PHI,,0,HOU,Defensive rebound by D. Theis,3,,,,,,,,,,D. Theis - theisda01,defensive,,,,,,,,,,,,,,,,202122
215680,215680,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,642,PHI,,0,HOU,Turnover by D. Theis (bad pass; steal by T. Harris),3,,,,,,,,,,,,,,,,,,,,D. Theis - theisda01,bad pass,steal,T. Harris - harrito02,,,,202122
215681,215681,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,634,PHI,F. Korkmaz makes 3-pt jump shot from 22 ft (assist by M. Thybulle),3,HOU,,3,F. Korkmaz - korkmfu01,3-pt jump shot,make,22.0,M. Thybulle - thybuma01,,,,,,,,,,,,,,,,,,,,,,202122
215682,215682,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,617,PHI,,3,HOU,D. Theis misses 3-pt jump shot from 26 ft,3,D. Theis - theisda01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
215683,215683,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,616,PHI,Defensive rebound by M. Thybulle,3,HOU,,3,,,,,,,,,,M. Thybulle - thybuma01,defensive,,,,,,,,,,,,,,,,202122
215684,215684,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,610,PHI,T. Harris misses 3-pt jump shot from 26 ft,3,HOU,,3,T. Harris - harrito02,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
215685,215685,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,609,PHI,,3,HOU,Defensive rebound by J. Green,3,,,,,,,,,,J. Green - greenja05,defensive,,,,,,,,,,,,,,,,202122
215686,215686,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,598,PHI,,3,HOU,J. Green misses 3-pt jump shot from 28 ft,3,J. Green - greenja05,3-pt jump shot,miss,28.0,,,,,,,,,,,,,,,,,,,,,,,202122
215687,215687,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,597,PHI,Defensive rebound by J. Embiid,3,HOU,,3,,,,,,,,,,J. Embiid - embiijo01,defensive,,,,,,,,,,,,,,,,202122
215688,215688,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,586,PHI,Turnover by T. Harris (lost ball; steal by D. Theis),3,HOU,,3,,,,,,,,,,,,,,,,,,,,T. Harris - harrito02,lost ball,steal,D. Theis - theisda01,,,,202122
215689,215689,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,574,PHI,,3,HOU,J. Tate makes 2-pt layup from 2 ft,5,J. Tate - tateja01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
215690,215690,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,561,PHI,J. Embiid makes 2-pt jump shot from 10 ft,5,HOU,,5,J. Embiid - embiijo01,2-pt jump shot,make,10.0,,,,,,,,,,,,,,,,,,,,,,,202122
215691,215691,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,561,PHI,Shooting foul by D. Theis (drawn by J. Embiid),5,HOU,,5,,,,,,,shooting,D. Theis - theisda01,J. Embiid - embiijo01,,,,,,,,,,,,,,,,,,202122
215692,215692,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,561,PHI,J. Embiid makes free throw 1 of 1,6,HOU,,5,,,,,,,,,,,,,,,J. Embiid - embiijo01,make,1 of 1,,,,,,,,,,202122
215693,215693,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,548,PHI,,6,HOU,Turnover by J. Green (lost ball; steal by F. Korkmaz),5,,,,,,,,,,,,,,,,,,,,J. Green - greenja05,lost ball,steal,F. Korkmaz - korkmfu01,,,,202122
215694,215694,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,544,PHI,F. Korkmaz makes 2-pt layup from 1 ft,8,HOU,,5,F. Korkmaz - korkmfu01,2-pt layup,make,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
215695,215695,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,525,PHI,,8,HOU,J. Tate misses 2-pt layup from 2 ft (block by D. Green),5,J. Tate - tateja01,2-pt layup,miss,2.0,,D. Green - greenda02,,,,,,,,,,,,,,,,,,,,,202122
215696,215696,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,523,PHI,Defensive rebound by F. Korkmaz,8,HOU,,5,,,,,,,,,,F. Korkmaz - korkmfu01,defensive,,,,,,,,,,,,,,,,202122
215697,215697,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,520,PHI,T. Harris makes 2-pt dunk from 1 ft (assist by J. Embiid),10,HOU,,5,T. Harris - harrito02,2-pt dunk,make,1.0,J. Embiid - embiijo01,,,,,,,,,,,,,,,,,,,,,,202122
215698,215698,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,508,PHI,,10,HOU,Shooting foul by J. Embiid (drawn by C. Wood),5,,,,,,,shooting,J. Embiid - embiijo01,C. Wood - woodch01,,,,,,,,,,,,,,,,,,202122
215699,215699,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,508,PHI,,10,HOU,C. Wood makes free throw 1 of 2,6,,,,,,,,,,,,,,,C. Wood - woodch01,make,1 of 2,,,,,,,,,,202122
215700,215700,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,508,PHI,,10,HOU,C. Wood makes free throw 2 of 2,7,,,,,,,,,,,,,,,C. Wood - woodch01,make,2 of 2,,,,,,,,,,202122
215701,215701,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,497,PHI,J. Embiid misses 2-pt jump shot from 15 ft,10,HOU,,7,J. Embiid - embiijo01,2-pt jump shot,miss,15.0,,,,,,,,,,,,,,,,,,,,,,,202122
215702,215702,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,496,PHI,,10,HOU,Defensive rebound by C. Wood,7,,,,,,,,,,C. Wood - woodch01,defensive,,,,,,,,,,,,,,,,202122
215703,215703,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,472,PHI,,10,HOU,Turnover by Team (shot clock),7,,,,,,,,,,,,,,,,,,,,Team,shot clock,,,,,,202122
215704,215704,boxscore/202201100HOU.html,regular,Toyota Center Houston Texas,January 10 2022,8:00 PM,PHI,1,459,PHI,T. Harris misses 2-pt jump shot from 8 ft,10,HOU,,7,T. Harris - harrito02,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,202122
