,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
209401,209401,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,720,LAC,Jump ball: I. Zubac vs. J. Valaninas (J. Hart gains possession),0,NOP,,0,,,,,,,,,,,,,,,,,,,,,,,,I. Zubac - zubaciv01,J. Valančiūnas - valanjo01,J. Hart - hartjo01,202122
209402,209402,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,700,LAC,,0,NOP,D. Graham misses 3-pt jump shot from 26 ft,0,D. Graham - grahade01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
209403,209403,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,697,LAC,Defensive rebound by N. Batum,0,NOP,,0,,,,,,,,,,N. Batum - batumni01,defensive,,,,,,,,,,,,,,,,202122
209404,209404,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,681,LAC,I. Zubac misses 2-pt jump shot from 10 ft,0,NOP,,0,I. Zubac - zubaciv01,2-pt jump shot,miss,10.0,,,,,,,,,,,,,,,,,,,,,,,202122
209405,209405,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,678,LAC,,0,NOP,Defensive rebound by J. Valaninas,0,,,,,,,,,,J. Valančiūnas - valanjo01,defensive,,,,,,,,,,,,,,,,202122
209406,209406,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,672,LAC,,0,NOP,J. Valaninas makes 2-pt jump shot from 7 ft (assist by J. Hart),2,J. Valančiūnas - valanjo01,2-pt jump shot,make,7.0,J. Hart - hartjo01,,,,,,,,,,,,,,,,,,,,,,202122
209407,209407,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,656,LAC,I. Zubac makes 2-pt dunk at rim (assist by R. Jackson),2,NOP,,2,I. Zubac - zubaciv01,2-pt dunk,make,0.0,R. Jackson - jacksre01,,,,,,,,,,,,,,,,,,,,,,202122
209408,209408,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,636,LAC,,2,NOP,B. Ingram makes 2-pt jump shot from 14 ft (assist by H. Jones),4,B. Ingram - ingrabr01,2-pt jump shot,make,14.0,H. Jones - joneshe01,,,,,,,,,,,,,,,,,,,,,,202122
209409,209409,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,636,LAC,,2,NOP,Shooting foul by A. Coffey (drawn by B. Ingram),4,,,,,,,shooting,A. Coffey - coffeam01,B. Ingram - ingrabr01,,,,,,,,,,,,,,,,,,202122
209410,209410,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,636,LAC,,2,NOP,B. Ingram makes free throw 1 of 1,5,,,,,,,,,,,,,,,B. Ingram - ingrabr01,make,1 of 1,,,,,,,,,,202122
209411,209411,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,625,LAC,M. Morris misses 3-pt jump shot from 25 ft,2,NOP,,5,M. Morris - morrima03,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
209412,209412,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,625,LAC,Offensive rebound by A. Coffey,2,NOP,,5,,,,,,,,,,A. Coffey - coffeam01,offensive,,,,,,,,,,,,,,,,202122
209413,209413,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,617,LAC,R. Jackson misses 2-pt jump shot from 19 ft,2,NOP,,5,R. Jackson - jacksre01,2-pt jump shot,miss,19.0,,,,,,,,,,,,,,,,,,,,,,,202122
209414,209414,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,614,LAC,,2,NOP,Defensive rebound by J. Valaninas,5,,,,,,,,,,J. Valančiūnas - valanjo01,defensive,,,,,,,,,,,,,,,,202122
209415,209415,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,602,LAC,,2,NOP,Turnover by J. Valaninas (bad pass; steal by N. Batum),5,,,,,,,,,,,,,,,,,,,,J. Valančiūnas - valanjo01,bad pass,steal,N. Batum - batumni01,,,,202122
209416,209416,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,598,LAC,Turnover by M. Morris (out of bounds lost ball),2,NOP,,5,,,,,,,,,,,,,,,,,,,,M. Morris - morrima03,out of bounds lost ball,,,,,,202122
209417,209417,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,589,LAC,,2,NOP,J. Valaninas makes 3-pt jump shot from 24 ft (assist by D. Graham),8,J. Valančiūnas - valanjo01,3-pt jump shot,make,24.0,D. Graham - grahade01,,,,,,,,,,,,,,,,,,,,,,202122
209418,209418,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,569,LAC,I. Zubac misses 2-pt jump shot from 15 ft,2,NOP,,8,I. Zubac - zubaciv01,2-pt jump shot,miss,15.0,,,,,,,,,,,,,,,,,,,,,,,202122
209419,209419,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,569,LAC,,2,NOP,Defensive rebound by J. Valaninas,8,,,,,,,,,,J. Valančiūnas - valanjo01,defensive,,,,,,,,,,,,,,,,202122
209420,209420,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,563,LAC,,2,NOP,J. Hart makes 2-pt layup from 2 ft,10,J. Hart - hartjo01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
209421,209421,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,562,LAC,LA Clippers full timeout,2,NOP,,10,,,,,,,,,,,,,,LAC,,,,,,,,,,,,,202122
209422,209422,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,546,LAC,A. Coffey misses 3-pt jump shot from 26 ft,2,NOP,,10,A. Coffey - coffeam01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
209423,209423,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,543,LAC,,2,NOP,Defensive rebound by H. Jones,10,,,,,,,,,,H. Jones - joneshe01,defensive,,,,,,,,,,,,,,,,202122
209424,209424,boxscore/202201130NOP.html,regular,Smoothie King Center New Orleans Louisiana,January 13 2022,8:00 PM,NOP,1,527,LAC,,2,NOP,D. Graham misses 2-pt layup from 3 ft (block by N. Batum),10,D. Graham - grahade01,2-pt layup,miss,3.0,,N. Batum - batumni01,,,,,,,,,,,,,,,,,,,,,202122
