,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
103876,103876,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,720,BRK,Jump ball: D. Sharpe vs. K. Towns (J. McDaniels gains possession),0,MIN,,0,,,,,,,,,,,,,,,,,,,,,,,,D. Sharpe - sharpda01,K. Towns - townska01,J. McDaniels - mcdanja02,202122
103877,103877,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,706,BRK,,0,MIN,K. Towns misses 2-pt hook shot from 8 ft,0,K. Towns - townska01,2-pt hook shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,202122
103878,103878,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,703,BRK,Defensive rebound by J. Harden,0,MIN,,0,,,,,,,,,,J. Harden - hardeja01,defensive,,,,,,,,,,,,,,,,202122
103879,103879,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,688,BRK,P. Mills misses 2-pt jump shot from 12 ft,0,MIN,,0,P. Mills - millspa02,2-pt jump shot,miss,12.0,,,,,,,,,,,,,,,,,,,,,,,202122
103880,103880,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,684,BRK,,0,MIN,Defensive rebound by J. McDaniels,0,,,,,,,,,,J. McDaniels - mcdanja02,defensive,,,,,,,,,,,,,,,,202122
103881,103881,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,678,BRK,,0,MIN,D. Russell makes 2-pt jump shot from 12 ft,2,D. Russell - russeda01,2-pt jump shot,make,12.0,,,,,,,,,,,,,,,,,,,,,,,202122
103882,103882,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,669,BRK,K. Edwards makes 3-pt jump shot from 25 ft (assist by J. Harden),3,MIN,,2,K. Edwards - edwarke02,3-pt jump shot,make,25.0,J. Harden - hardeja01,,,,,,,,,,,,,,,,,,,,,,202122
103883,103883,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,650,BRK,,3,MIN,Turnover by K. Towns (lost ball; steal by J. Harden),2,,,,,,,,,,,,,,,,,,,,K. Towns - townska01,lost ball,steal,J. Harden - hardeja01,,,,202122
103884,103884,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,643,BRK,K. Edwards misses 3-pt jump shot from 23 ft,3,MIN,,2,K. Edwards - edwarke02,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
103885,103885,boxscore/202201230MIN.html,regular,Target Center Minneapolis Minnesota,January 23 2022,8:00 PM,MIN,1,640,BRK,,3,MIN,Defensive rebound by J. Vanderbilt,2,,,,,,,,,,J. Vanderbilt - vandeja01,defensive,,,,,,,,,,,,,,,,202122
