,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
117248,117248,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,720,CHO,Jump ball: M. Plumlee vs. R. Williams (A. Horford gains possession),0,BOS,,0,,,,,,,,,,,,,,,,,,,,,,,,M. Plumlee - plumlma01,R. Williams - williro04,A. Horford - horfoal01,202122
117249,117249,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,698,CHO,,0,BOS,M. Smart misses 3-pt jump shot from 25 ft,0,M. Smart - smartma01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
117250,117250,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,696,CHO,Defensive rebound by M. Plumlee,0,BOS,,0,,,,,,,,,,M. Plumlee - plumlma01,defensive,,,,,,,,,,,,,,,,202122
117251,117251,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,680,CHO,M. Bridges misses 2-pt jump shot from 15 ft,0,BOS,,0,M. Bridges - bridgmi02,2-pt jump shot,miss,15.0,,,,,,,,,,,,,,,,,,,,,,,202122
117252,117252,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,677,CHO,Offensive rebound by M. Plumlee,0,BOS,,0,,,,,,,,,,M. Plumlee - plumlma01,offensive,,,,,,,,,,,,,,,,202122
117253,117253,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,675,CHO,Turnover by M. Plumlee (bad pass; steal by R. Williams),0,BOS,,0,,,,,,,,,,,,,,,,,,,,M. Plumlee - plumlma01,bad pass,steal,R. Williams - williro04,,,,202122
117254,117254,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,670,CHO,,0,BOS,J. Brown misses 2-pt layup from 3 ft,0,J. Brown - brownja02,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
117255,117255,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,669,CHO,,0,BOS,Offensive rebound by R. Williams,0,,,,,,,,,,R. Williams - williro04,offensive,,,,,,,,,,,,,,,,202122
117256,117256,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,669,CHO,,0,BOS,R. Williams makes 2-pt dunk at rim,2,R. Williams - williro04,2-pt dunk,make,0.0,,,,,,,,,,,,,,,,,,,,,,,202122
117257,117257,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,646,CHO,T. Rozier misses 2-pt layup from 7 ft,0,BOS,,2,T. Rozier - roziete01,2-pt layup,miss,7.0,,,,,,,,,,,,,,,,,,,,,,,202122
117258,117258,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,646,CHO,,0,BOS,Defensive rebound by R. Williams,2,,,,,,,,,,R. Williams - williro04,defensive,,,,,,,,,,,,,,,,202122
117259,117259,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,640,CHO,,0,BOS,J. Brown makes 2-pt jump shot from 17 ft (assist by M. Smart),4,J. Brown - brownja02,2-pt jump shot,make,17.0,M. Smart - smartma01,,,,,,,,,,,,,,,,,,,,,,202122
117260,117260,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,613,CHO,L. Ball makes 3-pt jump shot from 23 ft (assist by M. Plumlee),3,BOS,,4,L. Ball - ballla01,3-pt jump shot,make,23.0,M. Plumlee - plumlma01,,,,,,,,,,,,,,,,,,,,,,202122
117261,117261,boxscore/202202020BOS.html,regular,TD Garden Boston Massachusetts,February 2 2022,7:30 PM,BOS,1,603,CHO,,3,BOS,Turnover by J. Brown (out of bounds lost ball),4,,,,,,,,,,,,,,,,,,,,J. Brown - brownja02,out of bounds lost ball,,,,,,202122
