,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
386714,386714,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,720,ORL,Jump ball: M. Bamba vs. U. Azubuike (R. O'Neale gains possession),0,UTA,,0,,,,,,,,,,,,,,,,,,,,,,,,M. Bamba - bambamo01,U. Azubuike - azubuud01,R. O'Neale - onealro01,202122
386715,386715,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,701,ORL,,0,UTA,Turnover by D. Mitchell (lost ball; steal by J. Suggs),0,,,,,,,,,,,,,,,,,,,,D. Mitchell - mitchdo01,lost ball,steal,J. Suggs - suggsja01,,,,202122
386716,386716,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,690,ORL,M. Bamba misses 3-pt jump shot from 25 ft,0,UTA,,0,M. Bamba - bambamo01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
386717,386717,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,688,ORL,,0,UTA,Defensive rebound by B. Bogdanovi,0,,,,,,,,,,B. Bogdanović - bogdabo02,defensive,,,,,,,,,,,,,,,,202122
386718,386718,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,681,ORL,,0,UTA,D. Mitchell misses 3-pt jump shot from 23 ft,0,D. Mitchell - mitchdo01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
386719,386719,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,677,ORL,Defensive rebound by F. Wagner,0,UTA,,0,,,,,,,,,,F. Wagner - wagnefr01,defensive,,,,,,,,,,,,,,,,202122
386720,386720,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,665,ORL,F. Wagner misses 2-pt jump shot from 7 ft (block by U. Azubuike),0,UTA,,0,F. Wagner - wagnefr01,2-pt jump shot,miss,7.0,,U. Azubuike - azubuud01,,,,,,,,,,,,,,,,,,,,,202122
386721,386721,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,662,ORL,,0,UTA,Defensive rebound by B. Bogdanovi,0,,,,,,,,,,B. Bogdanović - bogdabo02,defensive,,,,,,,,,,,,,,,,202122
386722,386722,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,660,ORL,,0,UTA,Turnover by B. Bogdanovi (lost ball; steal by F. Wagner),0,,,,,,,,,,,,,,,,,,,,B. Bogdanović - bogdabo02,lost ball,steal,F. Wagner - wagnefr01,,,,202122
386723,386723,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,651,ORL,W. Carter makes 2-pt dunk from 2 ft (assist by J. Suggs),2,UTA,,0,W. Carter - cartewe01,2-pt dunk,make,2.0,J. Suggs - suggsja01,,,,,,,,,,,,,,,,,,,,,,202122
386724,386724,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,635,ORL,,2,UTA,U. Azubuike makes 2-pt layup from 2 ft (assist by M. Conley),2,U. Azubuike - azubuud01,2-pt layup,make,2.0,M. Conley - conlemi01,,,,,,,,,,,,,,,,,,,,,,202122
386725,386725,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,609,ORL,W. Carter misses 2-pt jump shot from 14 ft,2,UTA,,2,W. Carter - cartewe01,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,,202122
386726,386726,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,606,ORL,,2,UTA,Defensive rebound by U. Azubuike,2,,,,,,,,,,U. Azubuike - azubuud01,defensive,,,,,,,,,,,,,,,,202122
386727,386727,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,595,ORL,,2,UTA,D. Mitchell misses 2-pt jump shot from 6 ft,2,D. Mitchell - mitchdo01,2-pt jump shot,miss,6.0,,,,,,,,,,,,,,,,,,,,,,,202122
386728,386728,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,592,ORL,Defensive rebound by C. Anthony,2,UTA,,2,,,,,,,,,,C. Anthony - anthoco01,defensive,,,,,,,,,,,,,,,,202122
386729,386729,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,584,ORL,M. Bamba misses 3-pt jump shot from 23 ft,2,UTA,,2,M. Bamba - bambamo01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
386730,386730,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,581,ORL,,2,UTA,Defensive rebound by B. Bogdanovi,2,,,,,,,,,,B. Bogdanović - bogdabo02,defensive,,,,,,,,,,,,,,,,202122
386731,386731,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,576,ORL,,2,UTA,B. Bogdanovi misses 3-pt jump shot from 25 ft,2,B. Bogdanović - bogdabo02,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
386732,386732,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,571,ORL,,2,UTA,Offensive rebound by D. Mitchell,2,,,,,,,,,,D. Mitchell - mitchdo01,offensive,,,,,,,,,,,,,,,,202122
386733,386733,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,564,ORL,,2,UTA,M. Conley misses 3-pt jump shot from 24 ft,2,M. Conley - conlemi01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,202122
386734,386734,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,561,ORL,Defensive rebound by W. Carter,2,UTA,,2,,,,,,,,,,W. Carter - cartewe01,defensive,,,,,,,,,,,,,,,,202122
386735,386735,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,552,ORL,J. Suggs misses 3-pt jump shot from 28 ft,2,UTA,,2,J. Suggs - suggsja01,3-pt jump shot,miss,28.0,,,,,,,,,,,,,,,,,,,,,,,202122
386736,386736,boxscore/202202110UTA.html,regular,Vivint Smart Home Arena Salt Lake City Utah,February 11 2022,9:00 PM,UTA,1,549,ORL,,2,UTA,Defensive rebound by U. Azubuike,2,,,,,,,,,,U. Azubuike - azubuud01,defensive,,,,,,,,,,,,,,,,202122
