,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
248339,248339,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,720,HOU,Jump ball: C. Wood vs. I. Zubac (D. Schrder gains possession),0,LAC,,0,,,,,,,,,,,,,,,,,,,,,,,,C. Wood - woodch01,I. Zubac - zubaciv01,D. Schröder - schrode01,202122
248340,248340,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,703,HOU,G. Mathews misses 3-pt jump shot from 23 ft,0,LAC,,0,G. Mathews - mathega01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
248341,248341,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,701,HOU,,0,LAC,Defensive rebound by T. Mann,0,,,,,,,,,,T. Mann - mannte01,defensive,,,,,,,,,,,,,,,,202122
248342,248342,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,691,HOU,,0,LAC,I. Zubac makes 2-pt hook shot from 3 ft (assist by M. Morris),2,I. Zubac - zubaciv01,2-pt hook shot,make,3.0,M. Morris - morrima03,,,,,,,,,,,,,,,,,,,,,,202122
248343,248343,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,680,HOU,Turnover by J. Green (bad pass; steal by N. Batum),0,LAC,,2,,,,,,,,,,,,,,,,,,,,J. Green - greenja05,bad pass,steal,N. Batum - batumni01,,,,202122
248344,248344,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,671,HOU,,0,LAC,I. Zubac misses 2-pt hook shot from 1 ft,2,I. Zubac - zubaciv01,2-pt hook shot,miss,1.0,,,,,,,,,,,,,,,,,,,,,,,202122
248345,248345,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,669,HOU,,0,LAC,Offensive rebound by I. Zubac,2,,,,,,,,,,I. Zubac - zubaciv01,offensive,,,,,,,,,,,,,,,,202122
248346,248346,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,666,HOU,,0,LAC,R. Jackson makes 2-pt layup from 2 ft (assist by I. Zubac),4,R. Jackson - jacksre01,2-pt layup,make,2.0,I. Zubac - zubaciv01,,,,,,,,,,,,,,,,,,,,,,202122
248347,248347,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,656,HOU,D. Schrder makes 2-pt jump shot from 5 ft,2,LAC,,4,D. Schröder - schrode01,2-pt jump shot,make,5.0,,,,,,,,,,,,,,,,,,,,,,,202122
248348,248348,boxscore/202202170LAC.html,regular,Crypto.com Arena Los Angeles California,February 17 2022,10:30 PM,LAC,1,640,HOU,,2,LAC,M. Morris makes 2-pt jump shot from 8 ft,6,M. Morris - morrima03,2-pt jump shot,make,8.0,,,,,,,,,,,,,,,,,,,,,,,202122
