,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
130968,130968,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,720,MIN,Jump ball: K. Towns vs. D. Powell (J. Vanderbilt gains possession),0,DAL,,0,,,,,,,,,,,,,,,,,,,,,,,,K. Towns - townska01,D. Powell - poweldw01,J. Vanderbilt - vandeja01,202122
130969,130969,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,705,MIN,D. Russell makes 2-pt jump shot from 9 ft,2,DAL,,0,D. Russell - russeda01,2-pt jump shot,make,9.0,,,,,,,,,,,,,,,,,,,,,,,202122
130970,130970,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,688,MIN,,2,DAL,D. Powell makes 2-pt dunk from 1 ft (assist by L. Doni),2,D. Powell - poweldw01,2-pt dunk,make,1.0,L. Dončić - doncilu01,,,,,,,,,,,,,,,,,,,,,,202122
130971,130971,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,676,MIN,P. Beverley makes 2-pt jump shot from 13 ft,4,DAL,,2,P. Beverley - beverpa01,2-pt jump shot,make,13.0,,,,,,,,,,,,,,,,,,,,,,,202122
130972,130972,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,658,MIN,,4,DAL,Turnover by L. Doni (bad pass; steal by J. Vanderbilt),2,,,,,,,,,,,,,,,,,,,,L. Dončić - doncilu01,bad pass,steal,J. Vanderbilt - vandeja01,,,,202122
130973,130973,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,654,MIN,D. Russell misses 2-pt layup from 4 ft,4,DAL,,2,D. Russell - russeda01,2-pt layup,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,202122
130974,130974,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,651,MIN,,4,DAL,Defensive rebound by D. Finney-Smith,2,,,,,,,,,,D. Finney-Smith - finnedo01,defensive,,,,,,,,,,,,,,,,202122
130975,130975,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,641,MIN,,4,DAL,J. Brunson misses 2-pt layup from 2 ft,2,J. Brunson - brunsja01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
130976,130976,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,639,MIN,Defensive rebound by K. Towns,4,DAL,,2,,,,,,,,,,K. Towns - townska01,defensive,,,,,,,,,,,,,,,,202122
130977,130977,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,632,MIN,D. Russell makes 3-pt jump shot from 25 ft (assist by P. Beverley),7,DAL,,2,D. Russell - russeda01,3-pt jump shot,make,25.0,P. Beverley - beverpa01,,,,,,,,,,,,,,,,,,,,,,202122
130978,130978,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,617,MIN,,7,DAL,R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Doni),5,R. Bullock - bullore01,3-pt jump shot,make,25.0,L. Dončić - doncilu01,,,,,,,,,,,,,,,,,,,,,,202122
130979,130979,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,603,MIN,K. Towns misses 2-pt layup from 3 ft (block by D. Powell),7,DAL,,5,K. Towns - townska01,2-pt layup,miss,3.0,,D. Powell - poweldw01,,,,,,,,,,,,,,,,,,,,,202122
130980,130980,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,601,MIN,,7,DAL,Defensive rebound by D. Powell,5,,,,,,,,,,D. Powell - poweldw01,defensive,,,,,,,,,,,,,,,,202122
130981,130981,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,595,MIN,,7,DAL,R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Doni),8,R. Bullock - bullore01,3-pt jump shot,make,23.0,L. Dončić - doncilu01,,,,,,,,,,,,,,,,,,,,,,202122
130982,130982,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,576,MIN,A. Edwards misses 2-pt jump shot from 19 ft,7,DAL,,8,A. Edwards - edwaran01,2-pt jump shot,miss,19.0,,,,,,,,,,,,,,,,,,,,,,,202122
130983,130983,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,574,MIN,,7,DAL,Defensive rebound by J. Brunson,8,,,,,,,,,,J. Brunson - brunsja01,defensive,,,,,,,,,,,,,,,,202122
130984,130984,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,564,MIN,,7,DAL,D. Powell makes 2-pt layup from 1 ft (assist by D. Finney-Smith),10,D. Powell - poweldw01,2-pt layup,make,1.0,D. Finney-Smith - finnedo01,,,,,,,,,,,,,,,,,,,,,,202122
130985,130985,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,547,MIN,A. Edwards misses 2-pt jump shot from 10 ft,7,DAL,,10,A. Edwards - edwaran01,2-pt jump shot,miss,10.0,,,,,,,,,,,,,,,,,,,,,,,202122
130986,130986,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,545,MIN,,7,DAL,Defensive rebound by D. Powell,10,,,,,,,,,,D. Powell - poweldw01,defensive,,,,,,,,,,,,,,,,202122
130987,130987,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,539,MIN,,7,DAL,D. Powell makes 2-pt layup from 1 ft (assist by D. Finney-Smith),12,D. Powell - poweldw01,2-pt layup,make,1.0,D. Finney-Smith - finnedo01,,,,,,,,,,,,,,,,,,,,,,202122
130988,130988,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,516,MIN,K. Towns misses 2-pt jump shot from 7 ft,7,DAL,,12,K. Towns - townska01,2-pt jump shot,miss,7.0,,,,,,,,,,,,,,,,,,,,,,,202122
130989,130989,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,514,MIN,,7,DAL,Defensive rebound by R. Bullock,12,,,,,,,,,,R. Bullock - bullore01,defensive,,,,,,,,,,,,,,,,202122
130990,130990,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,503,MIN,,7,DAL,L. Doni misses 2-pt jump shot from 15 ft,12,L. Dončić - doncilu01,2-pt jump shot,miss,15.0,,,,,,,,,,,,,,,,,,,,,,,202122
130991,130991,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,501,MIN,Defensive rebound by P. Beverley,7,DAL,,12,,,,,,,,,,P. Beverley - beverpa01,defensive,,,,,,,,,,,,,,,,202122
130992,130992,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,498,MIN,Shooting foul by D. Powell (drawn by A. Edwards),7,DAL,,12,,,,,,,shooting,D. Powell - poweldw01,A. Edwards - edwaran01,,,,,,,,,,,,,,,,,,202122
130993,130993,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,498,MIN,A. Edwards makes free throw 1 of 2,8,DAL,,12,,,,,,,,,,,,,,,A. Edwards - edwaran01,make,1 of 2,,,,,,,,,,202122
130994,130994,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,498,MIN,A. Edwards makes free throw 2 of 2,9,DAL,,12,,,,,,,,,,,,,,,A. Edwards - edwaran01,make,2 of 2,,,,,,,,,,202122
130995,130995,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,485,MIN,,9,DAL,R. Bullock misses 3-pt jump shot from 26 ft,12,R. Bullock - bullore01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
130996,130996,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,481,MIN,Defensive rebound by A. Edwards,9,DAL,,12,,,,,,,,,,A. Edwards - edwaran01,defensive,,,,,,,,,,,,,,,,202122
130997,130997,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,470,MIN,K. Towns makes 2-pt layup from 4 ft,11,DAL,,12,K. Towns - townska01,2-pt layup,make,4.0,,,,,,,,,,,,,,,,,,,,,,,202122
130998,130998,boxscore/202203210DAL.html,regular,American Airlines Center Dallas Texas,March 21 2022,8:30 PM,DAL,1,460,MIN,,11,DAL,Personal foul by J. Vanderbilt (drawn by L. Doni),12,,,,,,,personal,J. Vanderbilt - vandeja01,L. Dončić - doncilu01,,,,,,,,,,,,,,,,,,202122
