,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
324913,324913,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,720,CHI,Jump ball: N. Vuevi vs. K. Porziis (R. Hachimura gains possession),0,WAS,,0,,,,,,,,,,,,,,,,,,,,,,,,N. Vučević - vucevni01,K. Porziņģis - porzikr01,R. Hachimura - hachiru01,202122
324914,324914,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,697,CHI,,0,WAS,K. Porziis misses 3-pt jump shot from 27 ft,0,K. Porziņģis - porzikr01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,202122
324915,324915,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,691,CHI,Defensive rebound by D. DeRozan,0,WAS,,0,,,,,,,,,,D. DeRozan - derozde01,defensive,,,,,,,,,,,,,,,,202122
324916,324916,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,675,CHI,N. Vuevi misses 2-pt hook shot from 9 ft (block by K. Porziis),0,WAS,,0,N. Vučević - vucevni01,2-pt hook shot,miss,9.0,,K. Porziņģis - porzikr01,,,,,,,,,,,,,,,,,,,,,202122
324917,324917,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,672,CHI,Offensive rebound by N. Vuevi,0,WAS,,0,,,,,,,,,,N. Vučević - vucevni01,offensive,,,,,,,,,,,,,,,,202122
324918,324918,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,672,CHI,N. Vuevi makes 2-pt layup from 2 ft,2,WAS,,0,N. Vučević - vucevni01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
324919,324919,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,664,CHI,,2,WAS,T. Satoransk misses 2-pt layup from 7 ft,0,T. Satoranský - satorto01,2-pt layup,miss,7.0,,,,,,,,,,,,,,,,,,,,,,,202122
324920,324920,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,658,CHI,Defensive rebound by Team,2,WAS,,0,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,202122
324921,324921,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,658,CHI,Jump ball: N. Vuevi vs. K. Porziis (A. Dosunmu gains possession),2,WAS,,0,,,,,,,,,,,,,,,,,,,,,,,,N. Vučević - vucevni01,K. Porziņģis - porzikr01,A. Dosunmu - dosunay01,202122
324922,324922,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,641,CHI,D. DeRozan misses 2-pt jump shot from 11 ft,2,WAS,,0,D. DeRozan - derozde01,2-pt jump shot,miss,11.0,,,,,,,,,,,,,,,,,,,,,,,202122
324923,324923,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,638,CHI,,2,WAS,Defensive rebound by K. Porziis,0,,,,,,,,,,K. Porziņģis - porzikr01,defensive,,,,,,,,,,,,,,,,202122
324924,324924,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,628,CHI,,2,WAS,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by K. Porziis),2,K. Caldwell-Pope - caldwke01,2-pt jump shot,make,20.0,K. Porziņģis - porzikr01,,,,,,,,,,,,,,,,,,,,,,202122
324925,324925,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,617,CHI,N. Vuevi makes 3-pt jump shot from 25 ft (assist by A. Dosunmu),5,WAS,,2,N. Vučević - vucevni01,3-pt jump shot,make,25.0,A. Dosunmu - dosunay01,,,,,,,,,,,,,,,,,,,,,,202122
324926,324926,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,600,CHI,,5,WAS,Turnover by K. Caldwell-Pope (bad pass; steal by A. Caruso),2,,,,,,,,,,,,,,,,,,,,K. Caldwell-Pope - caldwke01,bad pass,steal,A. Caruso - carusal01,,,,202122
324927,324927,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,588,CHI,N. Vuevi makes 2-pt hook shot from 2 ft (assist by A. Caruso),7,WAS,,2,N. Vučević - vucevni01,2-pt hook shot,make,2.0,A. Caruso - carusal01,,,,,,,,,,,,,,,,,,,,,,202122
324928,324928,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,574,CHI,,7,WAS,R. Hachimura makes 2-pt layup from 2 ft,4,R. Hachimura - hachiru01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
324929,324929,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,559,CHI,N. Vuevi makes 2-pt layup from 5 ft (assist by D. DeRozan),9,WAS,,4,N. Vučević - vucevni01,2-pt layup,make,5.0,D. DeRozan - derozde01,,,,,,,,,,,,,,,,,,,,,,202122
324930,324930,boxscore/202203290WAS.html,regular,Capital One Arena Washington District of Columbia,March 29 2022,7:00 PM,CHI,1,545,CHI,,9,WAS,R. Hachimura makes 3-pt jump shot from 26 ft (assist by T. Satoransk),7,R. Hachimura - hachiru01,3-pt jump shot,make,26.0,T. Satoranský - satorto01,,,,,,,,,,,,,,,,,,,,,,202122
