,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
250191,250191,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,720,LAC,Jump ball: I. Zubac vs. S. Ibaka (J. Nwora gains possession),0,MIL,,0,,,,,,,,,,,,,,,,,,,,,,,,I. Zubac - zubaciv01,S. Ibaka - ibakase01,J. Nwora - nworajo01,202122
250192,250192,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,693,LAC,,0,MIL,P. Connaughton makes 2-pt layup from 1 ft (assist by B. Portis),2,P. Connaughton - connapa01,2-pt layup,make,1.0,B. Portis - portibo01,,,,,,,,,,,,,,,,,,,,,,202122
250193,250193,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,677,LAC,Personal foul by S. Ibaka (drawn by I. Zubac),0,MIL,,2,,,,,,,personal,S. Ibaka - ibakase01,I. Zubac - zubaciv01,,,,,,,,,,,,,,,,,,202122
250194,250194,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,671,LAC,R. Covington makes 3-pt jump shot from 26 ft (assist by I. Zubac),3,MIL,,2,R. Covington - covinro01,3-pt jump shot,make,26.0,I. Zubac - zubaciv01,,,,,,,,,,,,,,,,,,,,,,202122
250195,250195,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,654,LAC,,3,MIL,J. Nwora misses 2-pt jump shot from 16 ft,2,J. Nwora - nworajo01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,,202122
250196,250196,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,652,LAC,,3,MIL,Offensive rebound by S. Ibaka,2,,,,,,,,,,S. Ibaka - ibakase01,offensive,,,,,,,,,,,,,,,,202122
250197,250197,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,650,LAC,,3,MIL,S. Ibaka misses 2-pt jump shot from 9 ft,2,S. Ibaka - ibakase01,2-pt jump shot,miss,9.0,,,,,,,,,,,,,,,,,,,,,,,202122
250198,250198,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,647,LAC,Defensive rebound by R. Covington,3,MIL,,2,,,,,,,,,,R. Covington - covinro01,defensive,,,,,,,,,,,,,,,,202122
250199,250199,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,638,LAC,Offensive foul by T. Mann (drawn by P. Connaughton),3,MIL,,2,,,,,,,offensive,T. Mann - mannte01,P. Connaughton - connapa01,,,,,,,,,,,,,,,,,,202122
250200,250200,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,638,LAC,Turnover by T. Mann (offensive foul),3,MIL,,2,,,,,,,,,,,,,,,,,,,,T. Mann - mannte01,offensive foul,,,,,,202122
250201,250201,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,627,LAC,,3,MIL,B. Portis makes 2-pt hook shot from 2 ft,4,B. Portis - portibo01,2-pt hook shot,make,2.0,,,,,,,,,,,,,,,,,,,,,,,202122
250202,250202,boxscore/202204010MIL.html,regular,Fiserv Forum Milwaukee Wisconsin,April 1 2022,8:00 PM,LAC,1,608,LAC,L. Kennard misses 2-pt jump shot from 15 ft,3,MIL,,4,L. Kennard - kennalu01,2-pt jump shot,miss,15.0,,,,,,,,,,,,,,,,,,,,,,,202122
