,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
238169,238169,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,720,PHI,Jump ball: J. Embiid vs. K. Birch (O. Anunoby gains possession),0,TOR,,0,,,,,,,,,,,,,,,,,,,,,,,,J. Embiid - embiijo01,K. Birch - birchkh01,O. Anunoby - anunoog01,202122
238170,238170,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,693,PHI,,0,TOR,G. Trent misses 3-pt jump shot from 26 ft,0,G. Trent - trentga02,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
238171,238171,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,692,PHI,Defensive rebound by T. Harris,0,TOR,,0,,,,,,,,,,T. Harris - harrito02,defensive,,,,,,,,,,,,,,,,202122
238172,238172,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,673,PHI,T. Harris misses 3-pt jump shot from 25 ft,0,TOR,,0,T. Harris - harrito02,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
238173,238173,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,668,PHI,,0,TOR,Defensive rebound by P. Siakam,0,,,,,,,,,,P. Siakam - siakapa01,defensive,,,,,,,,,,,,,,,,202122
238174,238174,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,663,PHI,,0,TOR,P. Siakam makes 2-pt jump shot from 21 ft,2,P. Siakam - siakapa01,2-pt jump shot,make,21.0,,,,,,,,,,,,,,,,,,,,,,,202122
238175,238175,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,637,PHI,J. Harden misses 2-pt jump shot from 8 ft,0,TOR,,2,J. Harden - hardeja01,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,202122
238176,238176,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,634,PHI,,0,TOR,Defensive rebound by K. Birch,2,,,,,,,,,,K. Birch - birchkh01,defensive,,,,,,,,,,,,,,,,202122
238177,238177,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,630,PHI,,0,TOR,F. VanVleet misses 3-pt jump shot from 28 ft,2,F. VanVleet - vanvlfr01,3-pt jump shot,miss,28.0,,,,,,,,,,,,,,,,,,,,,,,202122
238178,238178,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,627,PHI,,0,TOR,Offensive rebound by K. Birch,2,,,,,,,,,,K. Birch - birchkh01,offensive,,,,,,,,,,,,,,,,202122
238179,238179,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,627,PHI,,0,TOR,Turnover by K. Birch (out of bounds lost ball),2,,,,,,,,,,,,,,,,,,,,K. Birch - birchkh01,out of bounds lost ball,,,,,,202122
238180,238180,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,612,PHI,D. Green makes 3-pt jump shot from 23 ft (assist by T. Harris),3,TOR,,2,D. Green - greenda02,3-pt jump shot,make,23.0,T. Harris - harrito02,,,,,,,,,,,,,,,,,,,,,,202122
238181,238181,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,593,PHI,,3,TOR,P. Siakam makes 2-pt hook shot from 7 ft (assist by F. VanVleet),4,P. Siakam - siakapa01,2-pt hook shot,make,7.0,F. VanVleet - vanvlfr01,,,,,,,,,,,,,,,,,,,,,,202122
238182,238182,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,580,PHI,J. Embiid misses 3-pt jump shot from 26 ft,3,TOR,,4,J. Embiid - embiijo01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
238183,238183,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,577,PHI,,3,TOR,Defensive rebound by P. Siakam,4,,,,,,,,,,P. Siakam - siakapa01,defensive,,,,,,,,,,,,,,,,202122
238184,238184,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,560,PHI,,3,TOR,O. Anunoby misses 2-pt jump shot from 5 ft (block by T. Harris),4,O. Anunoby - anunoog01,2-pt jump shot,miss,5.0,,T. Harris - harrito02,,,,,,,,,,,,,,,,,,,,,202122
238185,238185,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,558,PHI,Defensive rebound by T. Harris,3,TOR,,4,,,,,,,,,,T. Harris - harrito02,defensive,,,,,,,,,,,,,,,,202122
238186,238186,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,555,PHI,T. Maxey misses 3-pt jump shot from 28 ft,3,TOR,,4,T. Maxey - maxeyty01,3-pt jump shot,miss,28.0,,,,,,,,,,,,,,,,,,,,,,,202122
238187,238187,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,552,PHI,Offensive rebound by D. Green,3,TOR,,4,,,,,,,,,,D. Green - greenda02,offensive,,,,,,,,,,,,,,,,202122
238188,238188,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,547,PHI,J. Harden misses 2-pt jump shot from 14 ft,3,TOR,,4,J. Harden - hardeja01,2-pt jump shot,miss,14.0,,,,,,,,,,,,,,,,,,,,,,,202122
238189,238189,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,543,PHI,,3,TOR,Defensive rebound by P. Siakam,4,,,,,,,,,,P. Siakam - siakapa01,defensive,,,,,,,,,,,,,,,,202122
238190,238190,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,541,PHI,,3,TOR,Shooting foul by D. Green (drawn by P. Siakam),4,,,,,,,shooting,D. Green - greenda02,P. Siakam - siakapa01,,,,,,,,,,,,,,,,,,202122
238191,238191,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,541,PHI,,3,TOR,P. Siakam makes free throw 1 of 2,5,,,,,,,,,,,,,,,P. Siakam - siakapa01,make,1 of 2,,,,,,,,,,202122
238192,238192,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,541,PHI,,3,TOR,P. Siakam makes free throw 2 of 2,6,,,,,,,,,,,,,,,P. Siakam - siakapa01,make,2 of 2,,,,,,,,,,202122
238193,238193,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,516,PHI,D. Green misses 2-pt layup from 4 ft,3,TOR,,6,D. Green - greenda02,2-pt layup,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,202122
238194,238194,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,516,PHI,,3,TOR,Defensive rebound by Team,6,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,202122
238195,238195,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,511,PHI,,3,TOR,G. Trent misses 3-pt jump shot from 25 ft,6,G. Trent - trentga02,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
238196,238196,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,508,PHI,Defensive rebound by T. Harris,3,TOR,,6,,,,,,,,,,T. Harris - harrito02,defensive,,,,,,,,,,,,,,,,202122
238197,238197,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,501,PHI,T. Harris makes 2-pt layup from 4 ft,5,TOR,,6,T. Harris - harrito02,2-pt layup,make,4.0,,,,,,,,,,,,,,,,,,,,,,,202122
238198,238198,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,482,PHI,,5,TOR,K. Birch misses 2-pt jump shot from 10 ft,6,K. Birch - birchkh01,2-pt jump shot,miss,10.0,,,,,,,,,,,,,,,,,,,,,,,202122
238199,238199,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,480,PHI,Defensive rebound by T. Maxey,5,TOR,,6,,,,,,,,,,T. Maxey - maxeyty01,defensive,,,,,,,,,,,,,,,,202122
238200,238200,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,470,PHI,J. Harden makes 3-pt jump shot from 23 ft (assist by T. Maxey),8,TOR,,6,J. Harden - hardeja01,3-pt jump shot,make,23.0,T. Maxey - maxeyty01,,,,,,,,,,,,,,,,,,,,,,202122
238201,238201,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,456,PHI,,8,TOR,F. VanVleet misses 2-pt jump shot from 4 ft,6,F. VanVleet - vanvlfr01,2-pt jump shot,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,202122
238202,238202,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,454,PHI,Defensive rebound by J. Embiid,8,TOR,,6,,,,,,,,,,J. Embiid - embiijo01,defensive,,,,,,,,,,,,,,,,202122
238203,238203,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,452,PHI,Shooting foul by O. Anunoby (drawn by T. Maxey),8,TOR,,6,,,,,,,shooting,O. Anunoby - anunoog01,T. Maxey - maxeyty01,,,,,,,,,,,,,,,,,,202122
238204,238204,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,452,PHI,T. Maxey makes free throw 1 of 2,9,TOR,,6,,,,,,,,,,,,,,,T. Maxey - maxeyty01,make,1 of 2,,,,,,,,,,202122
238205,238205,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,452,PHI,T. Maxey makes free throw 2 of 2,10,TOR,,6,,,,,,,,,,,,,,,T. Maxey - maxeyty01,make,2 of 2,,,,,,,,,,202122
238206,238206,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,435,PHI,,10,TOR,G. Trent makes 3-pt jump shot from 26 ft,9,G. Trent - trentga02,3-pt jump shot,make,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
238207,238207,boxscore/202204230TOR.html,playoff,Scotiabank Arena Toronto Canada,April 23 2022,2:00 PM,TOR,1,422,PHI,T. Harris makes 2-pt hook shot from 3 ft (assist by J. Harden),12,TOR,,9,T. Harris - harrito02,2-pt hook shot,make,3.0,J. Harden - hardeja01,,,,,,,,,,,,,,,,,,,,,,202122
