,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
196062,196062,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,720,BOS,Jump ball: R. Williams vs. K. Looney (M. Smart gains possession),0,GSW,,0,,,,,,,,,,,,,,,,,,,,,,,,R. Williams - williro04,K. Looney - looneke01,M. Smart - smartma01,202122
196063,196063,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,702,BOS,J. Tatum misses 2-pt jump shot from 21 ft,0,GSW,,0,J. Tatum - tatumja01,2-pt jump shot,miss,21.0,,,,,,,,,,,,,,,,,,,,,,,202122
196064,196064,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,700,BOS,,0,GSW,Defensive rebound by S. Curry,0,,,,,,,,,,S. Curry - curryst01,defensive,,,,,,,,,,,,,,,,202122
196065,196065,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,685,BOS,,0,GSW,A. Wiggins misses 3-pt jump shot from 27 ft,0,A. Wiggins - wiggian01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,202122
196066,196066,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,683,BOS,Defensive rebound by A. Horford,0,GSW,,0,,,,,,,,,,A. Horford - horfoal01,defensive,,,,,,,,,,,,,,,,202122
196067,196067,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,675,BOS,J. Tatum misses 3-pt jump shot from 26 ft,0,GSW,,0,J. Tatum - tatumja01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
196068,196068,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,675,BOS,,0,GSW,Defensive rebound by Team,0,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,202122
196069,196069,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,666,BOS,,0,GSW,S. Curry misses 3-pt jump shot from 26 ft,0,S. Curry - curryst01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
196070,196070,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,663,BOS,,0,GSW,Offensive rebound by K. Looney,0,,,,,,,,,,K. Looney - looneke01,offensive,,,,,,,,,,,,,,,,202122
196071,196071,boxscore/202206020GSW.html,playoff,Chase Center San Francisco California,June 2 2022,9:00 PM,BOS,1,662,BOS,,0,GSW,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Looney),3,S. Curry - curryst01,3-pt jump shot,make,26.0,K. Looney - looneke01,,,,,,,,,,,,,,,,,,,,,,202122
