,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
9698,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,720,WAS,Jump ball: K. Porziis vs. B. Adebayo (C. Kispert gains possession),0,MIA,,0,,,,,,,,,,,,,,,,,,,,,,,,K. Porziņģis - porzikr01,B. Adebayo - adebaba01,C. Kispert - kispeco01
9699,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,701,WAS,K. Kuzma makes 2-pt jump shot from 4 ft,2,MIA,,0,K. Kuzma - kuzmaky01,2-pt jump shot,make,4.0,,,,,,,,,,,,,,,,,,,,,,
9700,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,682,WAS,,2,MIA,B. Adebayo makes 2-pt layup from 2 ft (assist by T. Herro),2,B. Adebayo - adebaba01,2-pt layup,make,2.0,T. Herro - herroty01,,,,,,,,,,,,,,,,,,,,,
9701,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,664,WAS,D. Avdija misses 2-pt layup from 2 ft (block by N. Jovi),2,MIA,,2,D. Avdija - avdijde01,2-pt layup,miss,2.0,,N. Jović - jovicni01,,,,,,,,,,,,,,,,,,,,
9702,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,660,WAS,Offensive rebound by K. Kuzma,2,MIA,,2,,,,,,,,,,K. Kuzma - kuzmaky01,offensive,,,,,,,,,,,,,,,
9703,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,660,WAS,C. Kispert makes 2-pt layup from 1 ft (assist by K. Kuzma),4,MIA,,2,C. Kispert - kispeco01,2-pt layup,make,1.0,K. Kuzma - kuzmaky01,,,,,,,,,,,,,,,,,,,,,
9704,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,648,WAS,,4,MIA,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),4,B. Adebayo - adebaba01,2-pt jump shot,make,11.0,T. Herro - herroty01,,,,,,,,,,,,,,,,,,,,,
9705,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,624,WAS,D. Avdija makes 2-pt layup from 2 ft (assist by K. Kuzma),6,MIA,,4,D. Avdija - avdijde01,2-pt layup,make,2.0,K. Kuzma - kuzmaky01,,,,,,,,,,,,,,,,,,,,,
9706,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,605,WAS,,6,MIA,K. Lowry makes 2-pt layup from 4 ft (assist by T. Herro),6,K. Lowry - lowryky01,2-pt layup,make,4.0,T. Herro - herroty01,,,,,,,,,,,,,,,,,,,,,
9707,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,594,WAS,K. Porziis misses 2-pt jump shot from 10 ft,6,MIA,,6,K. Porziņģis - porzikr01,2-pt jump shot,miss,10.0,,,,,,,,,,,,,,,,,,,,,,
9708,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,589,WAS,,6,MIA,Defensive rebound by B. Adebayo,6,,,,,,,,,,B. Adebayo - adebaba01,defensive,,,,,,,,,,,,,,,
9709,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,583,WAS,,6,MIA,B. Adebayo misses 2-pt hook shot from 6 ft,6,B. Adebayo - adebaba01,2-pt hook shot,miss,6.0,,,,,,,,,,,,,,,,,,,,,,
9710,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,581,WAS,,6,MIA,Offensive rebound by B. Adebayo,6,,,,,,,,,,B. Adebayo - adebaba01,offensive,,,,,,,,,,,,,,,
9711,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,580,WAS,,6,MIA,N. Jovi misses 3-pt jump shot from 26 ft,6,N. Jović - jovicni01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
9712,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,580,WAS,Defensive rebound by B. Beal,6,MIA,,6,,,,,,,,,,B. Beal - bealbr01,defensive,,,,,,,,,,,,,,,
9713,boxscore/202211250MIA.html,regular,FTX Arena Miami Florida,November 25 2022,8:00 PM,MIA,1,563,WAS,D. Avdija misses 3-pt jump shot from 24 ft,6,MIA,,6,D. Avdija - avdijde01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,
